onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0157	3.0193	S  3	stimulus
3.035	2.0183	S 11	stimulus
5.0533	1.8181	S 12	stimulus
6.4143	n/a	S  1	response
7.8889	1.8181	S 12	stimulus
8.843	n/a	S  1	response
11.3251	1.8181	S 12	stimulus
12.6953	n/a	S  1	response
15.5785	3.0191	S  3	stimulus
18.5976	2.0183	S 11	stimulus
20.616	1.8181	S 12	stimulus
21.7901	n/a	S  2	response
24.2522	1.8182	S 12	stimulus
25.355	n/a	S  2	response
27.6884	1.8181	S 12	stimulus
28.7562	n/a	S  2	response
31.8418	3.0191	S  3	stimulus
34.8609	2.0183	S 11	stimulus
36.8792	1.8181	S 12	stimulus
38.2534	n/a	S  1	response
39.5147	1.8181	S 12	stimulus
40.5958	n/a	S  1	response
42.5505	1.8181	S 12	stimulus
43.7645	n/a	S  2	response
45.8031	3.0191	S  4	stimulus
48.8222	2.0183	S 11	stimulus
50.8405	1.8181	S 12	stimulus
52.298	n/a	S  2	response
53.6762	1.8182	S 12	stimulus
54.8291	n/a	S  1	response
57.3125	1.8181	S 12	stimulus
58.5978	n/a	S  2	response
61.0655	3.0191	S  4	stimulus
64.0847	2.0183	S 11	stimulus
66.103	1.8181	S 12	stimulus
67.5463	n/a	S  2	response
69.5391	1.8182	S 12	stimulus
71.2912	n/a	S  1	response
72.7751	1.8181	S 12	stimulus
74.3299	n/a	S  2	response
75.9276	3.0191	S  3	stimulus
76.5498	n/a	S  1	response
78.9467	2.0183	S 11	stimulus
80.9651	1.8181	S 12	stimulus
82.3996	n/a	S  2	response
84.201	1.8181	S 12	stimulus
84.8608	n/a	S  2	response
87.2368	1.8181	S 12	stimulus
88.3633	n/a	S  2	response
90.6896	3.0191	S  3	stimulus
93.7088	2.0183	S 11	stimulus
95.7271	1.8181	S 12	stimulus
96.8005	n/a	S  1	response
99.3634	1.8181	S 12	stimulus
100.2979	n/a	S  1	response
102.199	1.8181	S 12	stimulus
103.1778	n/a	S  2	response
106.2523	3.0191	S  3	stimulus
