onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0111	3.0191	S  4	stimulus
3.0302	2.0183	S 11	stimulus
5.0486	1.8181	S 12	stimulus
6.0872	n/a	S  2	response
8.0844	1.8182	S 12	stimulus
9.0745	n/a	S  1	response
11.1202	1.8181	S 12	stimulus
12.7369	n/a	S  1	response
15.5738	3.0191	S  3	stimulus
18.5929	2.0183	S 11	stimulus
20.6112	1.8181	S 12	stimulus
22.1192	n/a	S  1	response
23.2467	1.8182	S 12	stimulus
24.2266	n/a	S  1	response
26.2825	1.8181	S 12	stimulus
27.1028	n/a	S  1	response
29.7352	3.0192	S  3	stimulus
32.7544	2.0183	S 11	stimulus
34.7727	1.8181	S 12	stimulus
35.6237	n/a	S  1	response
38.0087	1.8181	S 12	stimulus
38.8236	n/a	S  1	response
41.645	1.8181	S 12	stimulus
42.3623	n/a	S  1	response
45.6983	3.0191	S  4	stimulus
48.7174	2.0183	S 11	stimulus
50.7357	1.8181	S 12	stimulus
51.7295	n/a	S  1	response
54.372	1.8181	S 12	stimulus
55.7119	n/a	S  1	response
57.8081	1.8181	S 12	stimulus
58.6844	n/a	S  1	response
60.9607	3.0191	S  4	stimulus
63.9798	2.0183	S 11	stimulus
65.9981	1.8181	S 12	stimulus
66.9691	n/a	S  1	response
68.8338	1.8181	S 12	stimulus
69.7303	n/a	S  1	response
72.0698	1.8181	S 12	stimulus
72.8764	n/a	S  1	response
76.5234	3.0191	S  4	stimulus
79.5425	2.0183	S 11	stimulus
81.5608	1.8181	S 12	stimulus
82.8037	n/a	S  1	response
84.9969	1.8182	S 12	stimulus
85.8573	n/a	S  1	response
87.8326	1.8181	S 12	stimulus
89.566	n/a	S  2	response
92.0861	3.0191	S  4	stimulus
95.1052	2.0183	S 11	stimulus
97.1235	1.8181	S 12	stimulus
98.5707	n/a	S  1	response
99.759	1.8181	S 12	stimulus
101.3894	n/a	S  1	response
102.7948	1.8181	S 12	stimulus
104.2131	n/a	S  1	response
