onset	duration	event_type	trial_type
2.708	n/a	S  4	stimulus
5.742	n/a	S 11	n/a
7.758	n/a	S 12	stimulus
8.732	n/a	S  1	response
10.408	n/a	S 12	stimulus
11.732	n/a	S  1	response
13.441	n/a	S 12	stimulus
14.012	n/a	S  2	response
17.608	n/a	S  3	stimulus
20.625	n/a	S 11	n/a
22.641	n/a	S 12	stimulus
23.435	n/a	S  1	response
25.474	n/a	S 12	stimulus
26.323	n/a	S  2	response
28.108	n/a	S 12	stimulus
29.411	n/a	S  1	response
31.674	n/a	S  3	stimulus
34.691	n/a	S 11	n/a
36.708	n/a	S 12	stimulus
37.827	n/a	S  2	response
40.141	n/a	S 12	stimulus
40.907	n/a	S  1	response
42.974	n/a	S 12	stimulus
43.739	n/a	S  1	response
47.324	n/a	S  3	stimulus
50.357	n/a	S 11	n/a
52.374	n/a	S 12	stimulus
53.427	n/a	S  2	response
55.207	n/a	S 12	stimulus
56.387	n/a	S  2	response
58.457	n/a	S 12	stimulus
59.195	n/a	S  1	response
62.724	n/a	S  3	stimulus
65.74	n/a	S 11	n/a
67.757	n/a	S 12	stimulus
68.595	n/a	S  2	response
71.39	n/a	S 12	stimulus
72.003	n/a	S  1	response
74.423	n/a	S 12	stimulus
75.347	n/a	S  1	response
78.89	n/a	S  3	stimulus
81.906	n/a	S 11	n/a
83.923	n/a	S 12	stimulus
84.827	n/a	S  2	response
87.356	n/a	S 12	stimulus
88.099	n/a	S  1	response
90.189	n/a	S 12	stimulus
91.043	n/a	S  2	response
93.939	n/a	S  4	stimulus
96.956	n/a	S 11	n/a
98.973	n/a	S 12	stimulus
99.707	n/a	S  1	response
102.406	n/a	S 12	stimulus
103.307	n/a	S  2	response
105.239	n/a	S 12	stimulus
106.051	n/a	S  2	response
108.989	n/a	S  4	stimulus
112.006	n/a	S 11	n/a
114.022	n/a	S 12	stimulus
114.906	n/a	S  1	response
116.655	n/a	S 12	stimulus
117.474	n/a	S  2	response
119.689	n/a	S 12	stimulus
120.474	n/a	S  1	response
123.755	n/a	S  4	stimulus
126.772	n/a	S 11	n/a
128.789	n/a	S 12	stimulus
129.474	n/a	S  1	response
131.622	n/a	S 12	stimulus
132.69	n/a	S  2	response
134.655	n/a	S 12	stimulus
135.858	n/a	S  2	response
136.042	n/a	S  2	response
138.005	n/a	S  3	stimulus
141.022	n/a	S 11	n/a
143.038	n/a	S 12	stimulus
143.802	n/a	S  1	response
145.671	n/a	S 12	stimulus
146.45	n/a	S  1	response
149.121	n/a	S 12	stimulus
149.866	n/a	S  2	response
153.571	n/a	S  3	stimulus
156.588	n/a	S 11	n/a
158.604	n/a	S 12	stimulus
159.394	n/a	S  1	response
162.054	n/a	S 12	stimulus
162.77	n/a	S  1	response
164.688	n/a	S 12	stimulus
165.666	n/a	S  1	response
169.237	n/a	S  4	stimulus
172.271	n/a	S 11	n/a
174.287	n/a	S 12	stimulus
175.186	n/a	S  2	response
177.321	n/a	S 12	stimulus
178.498	n/a	S  1	response
180.354	n/a	S 12	stimulus
181.69	n/a	S  2	response
183.704	n/a	S 10	n/a
191.72	n/a	S  3	stimulus
194.737	n/a	S 11	n/a
196.753	n/a	S 12	stimulus
197.585	n/a	S  2	response
200.387	n/a	S 12	stimulus
201.129	n/a	S  2	response
203.62	n/a	S 12	stimulus
204.217	n/a	S  1	response
206.77	n/a	S  3	stimulus
209.786	n/a	S 11	n/a
211.803	n/a	S 12	stimulus
213.089	n/a	S  1	response
215.236	n/a	S 12	stimulus
215.969	n/a	S  1	response
218.886	n/a	S 12	stimulus
219.641	n/a	S  2	response
223.536	n/a	S  4	stimulus
226.553	n/a	S 11	n/a
228.569	n/a	S 12	stimulus
229.457	n/a	S  1	response
231.819	n/a	S 12	stimulus
232.665	n/a	S  2	response
235.252	n/a	S 12	stimulus
235.945	n/a	S  1	response
239.419	n/a	S  4	stimulus
242.452	n/a	S 11	n/a
244.469	n/a	S 12	stimulus
245.329	n/a	S  1	response
247.902	n/a	S 12	stimulus
248.841	n/a	S  2	response
250.935	n/a	S 12	stimulus
251.625	n/a	S  1	response
254.785	n/a	S  4	stimulus
257.802	n/a	S 11	n/a
