onset	duration	event_type	trial_type
10.475	n/a	S  4	stimulus
13.509	n/a	S 11	n/a
15.525	n/a	S 12	stimulus
16.644	n/a	S  2	response
18.759	n/a	S 12	stimulus
19.756	n/a	S  1	response
21.792	n/a	S 12	stimulus
23.252	n/a	S  1	response
26.042	n/a	S  4	stimulus
29.058	n/a	S 11	n/a
31.075	n/a	S 12	stimulus
32.228	n/a	S  1	response
34.325	n/a	S 12	stimulus
35.436	n/a	S  2	response
37.958	n/a	S 12	stimulus
38.924	n/a	S  2	response
41.608	n/a	S  4	stimulus
44.625	n/a	S 11	n/a
46.641	n/a	S 12	stimulus
49.004	n/a	S  2	response
50.075	n/a	S 12	stimulus
51.236	n/a	S  2	response
52.908	n/a	S 12	stimulus
53.604	n/a	S  2	response
56.358	n/a	S  3	stimulus
59.374	n/a	S 11	n/a
61.391	n/a	S 12	stimulus
62.444	n/a	S  2	response
64.024	n/a	S 12	stimulus
64.772	n/a	S  1	response
67.457	n/a	S 12	stimulus
68.836	n/a	S  2	response
71.624	n/a	S  4	stimulus
74.641	n/a	S 11	n/a
76.657	n/a	S 12	stimulus
77.716	n/a	S  1	response
79.69	n/a	S 12	stimulus
80.772	n/a	S  1	response
83.324	n/a	S 12	stimulus
84.22	n/a	S  2	response
86.674	n/a	S  4	stimulus
89.69	n/a	S 11	n/a
91.707	n/a	S 12	stimulus
93.508	n/a	S  1	response
94.54	n/a	S 12	stimulus
96.291	n/a	S  1	response
98.173	n/a	S 12	stimulus
98.971	n/a	S  2	response
101.623	n/a	S  3	stimulus
104.64	n/a	S 11	n/a
106.656	n/a	S 12	stimulus
107.451	n/a	S  1	response
109.49	n/a	S 12	stimulus
110.699	n/a	S  1	response
112.14	n/a	S 12	stimulus
113.851	n/a	S  1	response
115.29	n/a	S  3	stimulus
118.306	n/a	S 11	n/a
120.323	n/a	S 12	stimulus
121.867	n/a	S  2	response
123.573	n/a	S 12	stimulus
124.603	n/a	S  2	response
127.006	n/a	S 12	stimulus
128.091	n/a	S  2	response
130.656	n/a	S  4	stimulus
133.689	n/a	S 11	n/a
135.706	n/a	S 12	stimulus
