onset	duration	event_type	trial_type
14.426	n/a	S  4	stimulus
17.459	n/a	S 11	n/a
19.475	n/a	S 12	stimulus
20.651	n/a	S  1	response
22.925	n/a	S 12	stimulus
24.139	n/a	S  1	response
25.559	n/a	S 12	stimulus
26.891	n/a	S  2	response
29.209	n/a	S  4	stimulus
32.242	n/a	S 11	n/a
34.258	n/a	S 12	stimulus
35.291	n/a	S  2	response
37.292	n/a	S 12	stimulus
38.563	n/a	S  1	response
40.925	n/a	S 12	stimulus
41.851	n/a	S  2	response
44.775	n/a	S  3	stimulus
47.791	n/a	S 11	n/a
49.808	n/a	S 12	stimulus
50.979	n/a	S  1	response
52.458	n/a	S 12	stimulus
53.531	n/a	S  1	response
56.091	n/a	S 12	stimulus
56.699	n/a	S  2	response
60.141	n/a	S  3	stimulus
63.158	n/a	S 11	n/a
65.174	n/a	S 12	stimulus
66.186	n/a	S  2	response
68.808	n/a	S 12	stimulus
69.842	n/a	S  1	response
72.041	n/a	S 12	stimulus
72.714	n/a	S  2	response
76.391	n/a	S  4	stimulus
79.424	n/a	S 11	n/a
81.441	n/a	S 12	stimulus
83.794	n/a	S  2	response
84.674	n/a	S 12	stimulus
86.186	n/a	S  1	response
87.707	n/a	S 12	stimulus
89.29	n/a	S  1	response
91.857	n/a	S  4	stimulus
94.89	n/a	S 11	n/a
96.907	n/a	S 12	stimulus
97.858	n/a	S  2	response
100.34	n/a	S 12	stimulus
101.13	n/a	S  2	response
102.973	n/a	S 12	stimulus
104.09	n/a	S  1	response
106.94	n/a	S  3	stimulus
109.973	n/a	S 11	n/a
111.99	n/a	S 12	stimulus
112.962	n/a	S  1	response
115.423	n/a	S 12	stimulus
116.218	n/a	S  2	response
118.656	n/a	S 12	stimulus
119.498	n/a	S  2	response
122.606	n/a	S  4	stimulus
125.623	n/a	S 11	n/a
127.639	n/a	S 12	stimulus
129.418	n/a	S  1	response
131.273	n/a	S 12	stimulus
133.09	n/a	S  1	response
133.906	n/a	S 12	stimulus
134.674	n/a	S  2	response
137.873	n/a	S  3	stimulus
140.889	n/a	S 11	n/a
142.906	n/a	S 12	stimulus
143.89	n/a	S  1	response
145.539	n/a	S 12	stimulus
146.498	n/a	S  1	response
148.789	n/a	S 12	stimulus
150.033	n/a	S  1	response
153.239	n/a	S  3	stimulus
156.272	n/a	S 11	n/a
158.289	n/a	S 12	stimulus
159.193	n/a	S  2	response
161.739	n/a	S 12	stimulus
162.633	n/a	S  2	response
164.972	n/a	S 12	stimulus
165.841	n/a	S  2	response
168.738	n/a	S  3	stimulus
171.755	n/a	S 11	n/a
173.772	n/a	S 12	stimulus
174.721	n/a	S  1	response
176.405	n/a	S 12	stimulus
177.921	n/a	S  2	response
179.255	n/a	S 12	stimulus
180.641	n/a	S  1	response
183.021	n/a	S  3	stimulus
186.055	n/a	S 11	n/a
188.071	n/a	S 12	stimulus
189.041	n/a	S  2	response
191.305	n/a	S 12	stimulus
192.025	n/a	S  2	response
194.338	n/a	S 12	stimulus
195.113	n/a	S  2	response
198.588	n/a	S 10	n/a
206.604	n/a	S  3	stimulus
209.621	n/a	S 11	n/a
211.637	n/a	S 12	stimulus
212.593	n/a	S  1	response
215.271	n/a	S 12	stimulus
216.161	n/a	S  1	response
218.704	n/a	S 12	stimulus
219.689	n/a	S  1	response
222.57	n/a	S  3	stimulus
225.587	n/a	S 11	n/a
227.604	n/a	S 12	stimulus
228.729	n/a	S  2	response
230.437	n/a	S 12	stimulus
231.153	n/a	S  2	response
234.07	n/a	S 12	stimulus
234.769	n/a	S  2	response
238.32	n/a	S  4	stimulus
241.337	n/a	S 11	n/a
243.353	n/a	S 12	stimulus
244.376	n/a	S  2	response
246.603	n/a	S 12	stimulus
247.336	n/a	S  2	response
249.836	n/a	S 12	stimulus
251.52	n/a	S  1	response
253.986	n/a	S  4	stimulus
257.003	n/a	S 11	n/a
259.02	n/a	S 12	stimulus
260.84	n/a	S  1	response
261.853	n/a	S 12	stimulus
263.232	n/a	S  1	response
264.903	n/a	S 12	stimulus
265.944	n/a	S  2	response
268.569	n/a	S  4	stimulus
271.586	n/a	S 11	n/a
273.603	n/a	S 12	stimulus
274.688	n/a	S  1	response
276.636	n/a	S 12	stimulus
277.536	n/a	S  2	response
280.269	n/a	S 12	stimulus
281.496	n/a	S  1	response
283.519	n/a	S  3	stimulus
286.536	n/a	S 11	n/a
288.552	n/a	S 12	stimulus
