onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0072	3.0191	S  3	stimulus
3.0263	2.0183	S 11	stimulus
5.0446	1.8181	S 12	stimulus
6.4417	n/a	S  1	response
8.6809	1.8181	S 12	stimulus
9.5153	n/a	S  1	response
11.7167	1.8182	S 12	stimulus
12.5065	n/a	S  1	response
15.0694	3.0191	S  3	stimulus
18.0886	2.0183	S 11	stimulus
20.1069	1.8181	S 12	stimulus
21.215	n/a	S  2	response
22.7423	1.8181	S 12	stimulus
23.9562	n/a	S  2	response
25.9783	1.8181	S 12	stimulus
26.9536	n/a	S  2	response
29.6313	3.0191	S  4	stimulus
32.6504	2.0183	S 11	stimulus
34.6687	1.8181	S 12	stimulus
35.6396	n/a	S  1	response
38.305	1.8181	S 12	stimulus
39.787	n/a	S  1	response
40.9405	1.8181	S 12	stimulus
42.0107	n/a	S  2	response
45.5943	3.0191	S  4	stimulus
48.6134	2.0183	S 11	stimulus
50.6317	1.8181	S 12	stimulus
52.0416	n/a	S  2	response
53.8676	1.8182	S 12	stimulus
55.159	n/a	S  1	response
57.5039	1.8181	S 12	stimulus
58.3864	n/a	S  1	response
60.8567	3.0191	S  4	stimulus
63.8758	2.0183	S 11	stimulus
65.8941	1.8182	S 12	stimulus
66.9125	n/a	S  1	response
69.3302	1.8181	S 12	stimulus
70.2099	n/a	S  2	response
72.366	1.8181	S 12	stimulus
73.4322	n/a	S  2	response
76.436	3.0191	S  4	stimulus
79.4551	2.0183	S 11	stimulus
81.4735	1.8181	S 12	stimulus
82.6545	n/a	S  1	response
84.7094	1.8182	S 12	stimulus
85.7869	n/a	S  2	response
87.7452	1.8181	S 12	stimulus
88.9105	n/a	S  2	response
91.3982	3.0191	S  4	stimulus
94.4173	2.0183	S 11	stimulus
96.4356	1.8182	S 12	stimulus
97.1016	n/a	S  2	response
99.2713	1.8181	S 12	stimulus
100.6777	n/a	S  2	response
102.3071	1.8181	S 12	stimulus
103.3064	n/a	S  1	response
105.86	3.0191	S  3	stimulus
108.8791	2.0183	S 11	stimulus
110.8974	1.8181	S 12	stimulus
111.7236	n/a	S  1	response
114.3335	1.8182	S 12	stimulus
115.0949	n/a	S  2	response
117.7696	1.8182	S 12	stimulus
118.5122	n/a	S  1	response
121.3225	3.0191	S  3	stimulus
124.3417	2.0183	S 11	stimulus
126.36	1.8181	S 12	stimulus
127.2394	n/a	S  1	response
129.3958	1.8181	S 12	stimulus
130.1831	n/a	S  1	response
132.0312	1.8182	S 12	stimulus
132.7194	n/a	S  1	response
136.2847	3.0191	S  4	stimulus
139.3038	2.0183	S 11	stimulus
141.3221	1.8181	S 12	stimulus
142.5603	n/a	S  2	response
144.9584	1.8181	S 12	stimulus
145.9102	n/a	S  1	response
147.9942	1.8181	S 12	stimulus
148.7851	n/a	S  2	response
152.2477	3.0191	S  3	stimulus
155.2668	2.0183	S 11	stimulus
157.2851	1.8181	S 12	stimulus
157.9473	n/a	S  1	response
160.1208	1.8182	S 12	stimulus
