onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0078	3.0191	S  3	stimulus
3.027	2.0183	S 11	stimulus
5.0453	1.8182	S 12	stimulus
5.7462	n/a	S  1	response
8.4814	1.8182	S 12	stimulus
9.0623	n/a	S  2	response
11.317	1.8181	S 12	stimulus
12.146	n/a	S  1	response
15.3703	3.0191	S  4	stimulus
18.3895	2.0183	S 11	stimulus
20.4078	1.8182	S 12	stimulus
21.3969	n/a	S  1	response
23.4436	1.8182	S 12	stimulus
24.1556	n/a	S  1	response
26.6795	1.8181	S 12	stimulus
27.5243	n/a	S  1	response
30.8329	3.0191	S  4	stimulus
33.852	2.0183	S 11	stimulus
35.8704	1.8181	S 12	stimulus
36.744	n/a	S  2	response
38.9062	1.8181	S 12	stimulus
39.8477	n/a	S  1	response
41.7418	1.8181	S 12	stimulus
42.5488	n/a	S  2	response
45.9953	3.0191	S  4	stimulus
49.0144	2.0183	S 11	stimulus
51.0327	1.8181	S 12	stimulus
52.2098	n/a	S  2	response
53.6682	1.8181	S 12	stimulus
54.4485	n/a	S  2	response
56.3036	1.8181	S 12	stimulus
56.9372	n/a	S  2	response
60.2569	3.0191	S  3	stimulus
63.276	2.0183	S 11	stimulus
65.2943	1.8182	S 12	stimulus
66.0782	n/a	S  1	response
68.1299	1.8181	S 12	stimulus
68.7306	n/a	S  1	response
71.7662	1.8181	S 12	stimulus
72.4617	n/a	S  1	response
76.3366	3.0191	S  3	stimulus
79.3557	2.0183	S 11	stimulus
81.374	1.8181	S 12	stimulus
82.3227	n/a	S  2	response
84.61	1.8181	S 12	stimulus
85.3039	n/a	S  2	response
87.4456	1.8181	S 12	stimulus
88.1913	n/a	S  2	response
92.0994	3.0191	S  4	stimulus
95.1186	2.0183	S 11	stimulus
97.1369	1.8181	S 12	stimulus
98.4622	n/a	S  2	response
100.7732	1.8181	S 12	stimulus
101.5259	n/a	S  2	response
104.0091	1.8182	S 12	stimulus
104.7434	n/a	S  1	response
107.562	3.0191	S  3	stimulus
110.5811	2.0183	S 11	stimulus
112.5995	1.8181	S 12	stimulus
113.6455	n/a	S  2	response
116.2357	1.8181	S 12	stimulus
116.933	n/a	S  1	response
119.0714	1.8182	S 12	stimulus
119.6941	n/a	S  2	response
123.3248	3.0191	S  3	stimulus
126.344	2.0183	S 11	stimulus
128.3623	1.8181	S 12	stimulus
129.3363	n/a	S  2	response
131.1979	1.8181	S 12	stimulus
131.9888	n/a	S  1	response
134.2336	1.8182	S 12	stimulus
134.9487	n/a	S  1	response
137.9868	3.0191	S  4	stimulus
141.0059	2.0183	S 11	stimulus
143.0242	1.8181	S 12	stimulus
144.3584	n/a	S  2	response
146.6605	1.8181	S 12	stimulus
147.7371	n/a	S  1	response
149.8965	1.8181	S 12	stimulus
150.782	n/a	S  2	response
154.1499	3.0191	S  4	stimulus
157.169	2.0183	S 11	stimulus
159.1874	1.8181	S 12	stimulus
159.9605	n/a	S  1	response
162.2232	1.8181	S 12	stimulus
163.2517	n/a	S  2	response
164.8586	1.8182	S 12	stimulus
165.6228	n/a	S  2	response
168.3114	3.0191	S  4	stimulus
171.3306	2.0183	S 11	stimulus
173.3489	1.8181	S 12	stimulus
174.3513	n/a	S  2	response
176.3847	1.8181	S 12	stimulus
177.1987	n/a	S  1	response
180.021	1.8181	S 12	stimulus
181.0149	n/a	S  1	response
183.774	10.0081	S 10	stimulus
193.7822	3.0024	S  3	stimulus
196.7846	2.0183	S 11	stimulus
198.8029	1.8182	S 12	stimulus
199.7943	n/a	S  1	response
202.4392	1.8181	S 12	stimulus
203.1056	n/a	S  1	response
205.8753	1.8181	S 12	stimulus
206.7891	n/a	S  1	response
209.0279	3.0191	S  3	stimulus
212.047	2.0183	S 11	stimulus
214.0653	1.8181	S 12	stimulus
215.0089	n/a	S  2	response
217.5015	1.8181	S 12	stimulus
218.2526	n/a	S  2	response
220.7374	1.8182	S 12	stimulus
221.6087	n/a	S  2	response
225.091	3.0191	S  4	stimulus
228.1101	2.0183	S 11	stimulus
230.1284	1.8181	S 12	stimulus
231.3297	n/a	S  2	response
232.7639	1.8181	S 12	stimulus
233.6084	n/a	S  2	response
235.7997	1.8181	S 12	stimulus
236.8408	n/a	S  1	response
239.2525	3.0191	S  3	stimulus
242.2716	2.0183	S 11	stimulus
244.2899	1.8181	S 12	stimulus
245.0143	n/a	S  1	response
247.5259	1.8182	S 12	stimulus
248.2092	n/a	S  1	response
250.1614	1.8182	S 12	stimulus
250.9866	n/a	S  2	response
253.8143	3.0191	S  3	stimulus
256.8335	2.0183	S 11	stimulus
258.8518	1.8181	S 12	stimulus
259.6301	n/a	S  2	response
261.4872	1.8181	S 12	stimulus
262.2325	n/a	S  1	response
264.1227	1.8181	S 12	stimulus
264.8962	n/a	S  1	response
268.0759	3.0191	S  3	stimulus
271.0951	2.0183	S 11	stimulus
273.1134	1.8182	S 12	stimulus
274.2522	n/a	S  2	response
276.5495	1.8181	S 12	stimulus
277.3259	n/a	S  1	response
279.7855	1.8181	S 12	stimulus
280.6858	n/a	S  2	response
284.0389	3.0024	S  3	stimulus
287.0414	2.0183	S 11	stimulus
289.0597	1.8181	S 12	stimulus
289.873	n/a	S  1	response
292.4958	1.8181	S 12	stimulus
293.2254	n/a	S  1	response
295.1313	1.8181	S 12	stimulus
295.8529	n/a	S  1	response
298.9844	3.0191	S  4	stimulus
302.0035	2.0183	S 11	stimulus
304.0219	1.8181	S 12	stimulus
305.4001	n/a	S  2	response
306.6573	1.8181	S 12	stimulus
307.6338	n/a	S  2	response
310.2936	1.8181	S 12	stimulus
311.1512	n/a	S  2	response
314.1468	3.0191	S  4	stimulus
317.1659	2.0183	S 11	stimulus
319.1842	1.8181	S 12	stimulus
320.5571	n/a	S  2	response
322.6203	1.8181	S 12	stimulus
323.2483	n/a	S  2	response
326.0565	1.8181	S 12	stimulus
327.1944	n/a	S  2	response
329.4092	3.0191	S  3	stimulus
332.4283	2.0183	S 11	stimulus
334.4466	1.8181	S 12	stimulus
335.2042	n/a	S  2	response
338.0829	1.8181	S 12	stimulus
339.1141	n/a	S  2	response
341.3189	1.8181	S 12	stimulus
342.0215	n/a	S  2	response
345.7725	3.0191	S  4	stimulus
348.7916	2.0183	S 11	stimulus
350.8099	1.8181	S 12	stimulus
352.2437	n/a	S  1	response
353.8457	1.8182	S 12	stimulus
354.7999	n/a	S  2	response
356.8815	1.8182	S 12	stimulus
358.221	n/a	S  2	response
360.4344	3.0191	S  4	stimulus
363.4535	2.0183	S 11	stimulus
365.4719	1.8181	S 12	stimulus
366.4596	n/a	S  2	response
368.1073	1.8181	S 12	stimulus
369.2732	n/a	S  1	response
371.1431	1.8182	S 12	stimulus
372.1544	n/a	S  2	response
375.0964	10.0081	S 10	stimulus
