onset	duration	event_type	trial_type
14.283	n/a	S  5	stimulus
15.863	n/a	S  1	response
16.417	n/a	S  5	stimulus
17.375	n/a	S  2	response
18.633	n/a	S  5	stimulus
19.495	n/a	S  1	response
21.967	n/a	S  4	stimulus
23.758	n/a	S  1	response
24.15	n/a	S  4	stimulus
25.254	n/a	S  3	response
27	n/a	S  4	stimulus
27.958	n/a	S  1	response
29.15	n/a	S  4	stimulus
30.326	n/a	S  3	response
32.35	n/a	S  5	stimulus
33.254	n/a	S  3	response
37.366	n/a	S  5	stimulus
38.158	n/a	S  3	response
39.899	n/a	S  5	stimulus
40.726	n/a	S  2	response
42.249	n/a	S  4	stimulus
43.294	n/a	S  3	response
45.366	n/a	S  4	stimulus
46.246	n/a	S  1	response
47.799	n/a	S  5	stimulus
48.662	n/a	S  1	response
50.399	n/a	S  5	stimulus
51.302	n/a	S  2	response
52.666	n/a	S  5	stimulus
53.27	n/a	S  2	response
55.066	n/a	S  5	stimulus
55.838	n/a	S  3	response
57.282	n/a	S  4	stimulus
58.278	n/a	S  2	response
59.432	n/a	S  5	stimulus
60.19	n/a	S  2	response
62.466	n/a	S  5	stimulus
63.254	n/a	S  3	response
67.249	n/a	S  4	stimulus
68.254	n/a	S  1	response
69.582	n/a	S  4	stimulus
70.286	n/a	S  1	response
72.149	n/a	S  4	stimulus
73.51	n/a	S  2	response
74.799	n/a	S  4	stimulus
75.814	n/a	S  3	response
76.865	n/a	S  5	stimulus
77.542	n/a	S  2	response
78.948	n/a	S  4	stimulus
79.974	n/a	S  3	response
82.348	n/a	S  4	stimulus
83.406	n/a	S  2	response
84.848	n/a	S  4	stimulus
85.822	n/a	S  3	response
87.415	n/a	S  4	stimulus
88.334	n/a	S  2	response
92.581	n/a	S  5	stimulus
93.238	n/a	S  2	response
94.931	n/a	S  5	stimulus
95.67	n/a	S  1	response
97.698	n/a	S  5	stimulus
98.446	n/a	S  3	response
100.081	n/a	S  4	stimulus
101.014	n/a	S  2	response
102.165	n/a	S  4	stimulus
103.062	n/a	S  1	response
104.198	n/a	S  5	stimulus
104.998	n/a	S  1	response
106.248	n/a	S  5	stimulus
107.182	n/a	S  3	response
108.898	n/a	S  5	stimulus
109.606	n/a	S  1	response
111.581	n/a	S  5	stimulus
112.181	n/a	S  1	response
114.631	n/a	S  4	stimulus
115.653	n/a	S  3	response
117.081	n/a	S  4	stimulus
118.357	n/a	S  3	response
119.447	n/a	S  4	stimulus
120.277	n/a	S  2	response
121.614	n/a	S  5	stimulus
122.349	n/a	S  2	response
123.897	n/a	S 10	n/a
133.914	n/a	S  4	stimulus
139.364	n/a	S  5	stimulus
140.253	n/a	S  1	response
141.564	n/a	S  5	stimulus
142.333	n/a	S  3	response
143.597	n/a	S  5	stimulus
144.325	n/a	S  1	response
145.663	n/a	S  5	stimulus
146.349	n/a	S  1	response
147.93	n/a	S  4	stimulus
149.045	n/a	S  3	response
150.213	n/a	S  5	stimulus
150.973	n/a	S  2	response
153.03	n/a	S  5	stimulus
153.629	n/a	S  2	response
159.596	n/a	S  4	stimulus
160.565	n/a	S  1	response
161.83	n/a	S  4	stimulus
162.925	n/a	S  3	response
163.946	n/a	S  4	stimulus
164.893	n/a	S  3	response
166.213	n/a	S  4	stimulus
167.149	n/a	S  1	response
170.496	n/a	S  5	stimulus
171.293	n/a	S  1	response
172.913	n/a	S  5	stimulus
173.693	n/a	S  3	response
175.063	n/a	S  5	stimulus
175.781	n/a	S  2	response
179.446	n/a	S  4	stimulus
180.325	n/a	S  1	response
181.946	n/a	S  5	stimulus
182.725	n/a	S  1	response
186.712	n/a	S  4	stimulus
187.773	n/a	S  2	response
188.762	n/a	S  4	stimulus
189.813	n/a	S  2	response
191.462	n/a	S  4	stimulus
192.685	n/a	S  3	response
194.496	n/a	S  4	stimulus
195.653	n/a	S  3	response
196.846	n/a	S  5	stimulus
197.581	n/a	S  2	response
199.545	n/a	S  5	stimulus
200.372	n/a	S  3	response
202.029	n/a	S  5	stimulus
202.732	n/a	S  2	response
204.329	n/a	S  5	stimulus
205.14	n/a	S  3	response
213.495	n/a	S  4	stimulus
214.348	n/a	S  1	response
216.245	n/a	S  4	stimulus
217.084	n/a	S  1	response
218.428	n/a	S  5	stimulus
219.508	n/a	S  3	response
220.778	n/a	S  4	stimulus
221.732	n/a	S  2	response
222.928	n/a	S  4	stimulus
223.764	n/a	S  2	response
225.378	n/a	S  4	stimulus
226.412	n/a	S  3	response
227.961	n/a	S  5	stimulus
228.812	n/a	S  1	response
230.461	n/a	S  5	stimulus
231.292	n/a	S  3	response
237.011	n/a	S  4	stimulus
237.884	n/a	S  1	response
239.511	n/a	S  4	stimulus
240.58	n/a	S  2	response
242.528	n/a	S  4	stimulus
243.436	n/a	S  1	response
244.678	n/a	S  5	stimulus
245.588	n/a	S  3	response
249.244	n/a	S  4	stimulus
250.172	n/a	S  1	response
252.061	n/a	S  4	stimulus
252.98	n/a	S  2	response
254.261	n/a	S  4	stimulus
255.5	n/a	S  2	response
256.761	n/a	S  5	stimulus
257.484	n/a	S  1	response
259.127	n/a	S  5	stimulus
259.82	n/a	S  3	response
261.527	n/a	S 10	n/a
310.909	n/a	S  5	stimulus
311.931	n/a	S  1	response
312.976	n/a	S  5	stimulus
313.835	n/a	S  2	response
316.059	n/a	S  5	stimulus
316.851	n/a	S  3	response
319.392	n/a	S  4	stimulus
320.531	n/a	S  3	response
321.742	n/a	S  4	stimulus
322.819	n/a	S  2	response
324.309	n/a	S  4	stimulus
325.259	n/a	S  2	response
326.492	n/a	S  4	stimulus
327.459	n/a	S  1	response
329.159	n/a	S  5	stimulus
330.107	n/a	S  2	response
335.375	n/a	S  5	stimulus
336.179	n/a	S  3	response
337.975	n/a	S  5	stimulus
338.587	n/a	S  2	response
341.342	n/a	S  4	stimulus
342.035	n/a	S  1	response
344.159	n/a	S  4	stimulus
345.179	n/a	S  3	response
346.658	n/a	S  5	stimulus
347.491	n/a	S  3	response
349.208	n/a	S  5	stimulus
349.995	n/a	S  1	response
351.358	n/a	S  5	stimulus
352.163	n/a	S  2	response
353.675	n/a	S  5	stimulus
354.467	n/a	S  3	response
356.275	n/a	S  4	stimulus
357.107	n/a	S  3	response
358.925	n/a	S  5	stimulus
359.595	n/a	S  1	response
361.108	n/a	S  5	stimulus
361.747	n/a	S  1	response
366.191	n/a	S  4	stimulus
367.075	n/a	S  1	response
369.558	n/a	S  4	stimulus
370.523	n/a	S  3	response
371.858	n/a	S  4	stimulus
372.915	n/a	S  1	response
374.258	n/a	S  4	stimulus
375.307	n/a	S  3	response
376.491	n/a	S  5	stimulus
377.154	n/a	S  2	response
378.991	n/a	S  4	stimulus
379.971	n/a	S  1	response
381.508	n/a	S  4	stimulus
382.61	n/a	S  2	response
384.891	n/a	S  4	stimulus
385.762	n/a	S  1	response
387.057	n/a	S  4	stimulus
388.098	n/a	S  2	response
