onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.011	3.0191	S  3	stimulus
3.0301	2.0183	S 11	stimulus
5.0484	1.8181	S 12	stimulus
5.7592	n/a	S  1	response
7.6838	1.8181	S 12	stimulus
8.223	n/a	S  1	response
10.7196	1.8181	S 12	stimulus
11.3754	n/a	S  2	response
14.3726	3.0191	S  4	stimulus
17.3917	2.0183	S 11	stimulus
19.41	1.8181	S 12	stimulus
20.56	n/a	S  1	response
22.0455	1.8181	S 12	stimulus
23.0937	n/a	S  2	response
24.6809	1.8181	S 12	stimulus
25.3736	n/a	S  2	response
28.2338	3.0191	S  4	stimulus
31.2529	2.0183	S 11	stimulus
33.2712	1.8181	S 12	stimulus
34.3371	n/a	S  2	response
36.5071	1.8181	S 12	stimulus
37.2932	n/a	S  1	response
39.9432	1.8181	S 12	stimulus
40.6993	n/a	S  2	response
44.597	3.0191	S  4	stimulus
47.6161	2.0183	S 11	stimulus
49.6344	1.8181	S 12	stimulus
50.509	n/a	S  1	response
53.2707	1.8181	S 12	stimulus
53.9789	n/a	S  1	response
56.1063	1.8181	S 12	stimulus
56.8976	n/a	S  1	response
60.0595	3.0191	S  3	stimulus
63.0786	2.0183	S 11	stimulus
65.0969	1.8181	S 12	stimulus
66.081	n/a	S  2	response
67.9325	1.8181	S 12	stimulus
68.4646	n/a	S  1	response
70.7681	1.8181	S 12	stimulus
71.357	n/a	S  1	response
74.321	3.0191	S  3	stimulus
77.3401	2.0183	S 11	stimulus
79.3584	1.8181	S 12	stimulus
80.1929	n/a	S  2	response
82.3942	1.8181	S 12	stimulus
83.0866	n/a	S  2	response
85.6301	1.8181	S 12	stimulus
86.1577	n/a	S  1	response
89.0829	3.0191	S  3	stimulus
92.102	2.0183	S 11	stimulus
94.1203	1.8181	S 12	stimulus
94.8599	n/a	S  1	response
97.1561	1.8181	S 12	stimulus
97.7098	n/a	S  1	response
100.7924	1.8181	S 12	stimulus
101.3259	n/a	S  1	response
104.7456	3.0191	S  3	stimulus
107.7647	2.0183	S 11	stimulus
109.783	1.8181	S 12	stimulus
110.6157	n/a	S  2	response
113.4192	1.8181	S 12	stimulus
114.3542	n/a	S  2	response
116.0547	1.8181	S 12	stimulus
116.6042	n/a	S  2	response
120.4082	3.0191	S  3	stimulus
123.4273	2.0183	S 11	stimulus
125.4456	1.8181	S 12	stimulus
126.8013	n/a	S  1	response
129.0819	1.8181	S 12	stimulus
129.625	n/a	S  1	response
131.9175	1.8181	S 12	stimulus
132.4962	n/a	S  1	response
135.7706	3.0191	S  4	stimulus
138.7897	2.0183	S 11	stimulus
140.808	1.8181	S 12	stimulus
142.2321	n/a	S  1	response
144.044	1.8181	S 12	stimulus
145.3106	n/a	S  2	response
146.6794	1.8181	S 12	stimulus
147.3756	n/a	S  1	response
150.4325	3.0191	S  4	stimulus
153.4516	2.0183	S 11	stimulus
155.4698	1.8181	S 12	stimulus
156.7552	n/a	S  2	response
158.7058	1.8181	S 12	stimulus
159.5739	n/a	S  2	response
161.3413	1.8181	S 12	stimulus
162.2989	n/a	S  2	response
164.9942	3.0191	S  4	stimulus
168.0133	2.0183	S 11	stimulus
170.0316	1.8181	S 12	stimulus
170.9385	n/a	S  1	response
173.4677	1.8181	S 12	stimulus
174.491	n/a	S  1	response
177.104	1.8181	S 12	stimulus
177.7258	n/a	S  1	response
180.3566	10.0081	S 10	stimulus
190.3647	3.0191	S  3	stimulus
193.3838	2.0183	S 11	stimulus
195.4021	1.8181	S 12	stimulus
195.994	n/a	S  2	response
198.638	1.8181	S 12	stimulus
199.845	n/a	S  1	response
201.6738	1.8181	S 12	stimulus
202.3549	n/a	S  1	response
206.3276	3.0191	S  4	stimulus
209.3467	2.0183	S 11	stimulus
211.365	1.8181	S 12	stimulus
212.1808	n/a	S  2	response
214.6009	1.8181	S 12	stimulus
215.9707	n/a	S  1	response
218.037	1.8181	S 12	stimulus
219.3081	n/a	S  2	response
222.0903	3.0191	S  4	stimulus
225.1094	2.0183	S 11	stimulus
227.1277	1.8181	S 12	stimulus
228.3178	n/a	S  1	response
230.764	1.8181	S 12	stimulus
231.6376	n/a	S  2	response
233.5996	1.8181	S 12	stimulus
234.3813	n/a	S  2	response
237.1525	3.0191	S  3	stimulus
240.1716	2.0183	S 11	stimulus
242.1899	1.8181	S 12	stimulus
243.1535	n/a	S  2	response
245.2257	1.8181	S 12	stimulus
245.9109	n/a	S  2	response
248.6784	1.8182	S 12	stimulus
249.2358	n/a	S  2	response
252.6316	3.0191	S  3	stimulus
255.6507	2.0183	S 11	stimulus
257.669	1.8181	S 12	stimulus
258.253	n/a	S  1	response
260.905	1.8181	S 12	stimulus
261.4266	n/a	S  1	response
263.9408	1.8181	S 12	stimulus
264.4579	n/a	S  1	response
267.0933	3.0191	S  4	stimulus
270.1124	2.0183	S 11	stimulus
272.1307	1.8181	S 12	stimulus
273.505	n/a	S  1	response
274.9663	1.8181	S 12	stimulus
275.7511	n/a	S  1	response
278.4024	1.8181	S 12	stimulus
279.3735	n/a	S  1	response
282.3556	3.0191	S  3	stimulus
285.3748	2.0183	S 11	stimulus
287.393	1.8181	S 12	stimulus
288.2794	n/a	S  1	response
290.2287	1.8181	S 12	stimulus
290.9194	n/a	S  2	response
293.6648	1.8181	S 12	stimulus
294.2529	n/a	S  1	response
298.3185	3.0191	S  4	stimulus
301.3376	2.0183	S 11	stimulus
303.3559	1.8181	S 12	stimulus
304.3414	n/a	S  2	response
306.792	1.8181	S 12	stimulus
307.5275	n/a	S  1	response
310.0279	1.8182	S 12	stimulus
310.9786	n/a	S  2	response
314.5817	3.0191	S  3	stimulus
317.6008	2.0183	S 11	stimulus
319.6191	1.8181	S 12	stimulus
320.5171	n/a	S  2	response
322.2545	1.8181	S 12	stimulus
322.837	n/a	S  1	response
324.89	1.8181	S 12	stimulus
325.9243	n/a	S  1	response
328.5429	3.0191	S  4	stimulus
331.562	2.0183	S 11	stimulus
333.5803	1.8181	S 12	stimulus
334.5378	n/a	S  2	response
336.416	1.8181	S 12	stimulus
337.5839	n/a	S  2	response
340.0522	1.8181	S 12	stimulus
340.8801	n/a	S  1	response
344.1055	3.0191	S  3	stimulus
347.1246	2.0183	S 11	stimulus
349.1429	1.8181	S 12	stimulus
349.9135	n/a	S  1	response
351.9785	1.8181	S 12	stimulus
353.2972	n/a	S  1	response
355.4146	1.8181	S 12	stimulus
356.4934	n/a	S  2	response
358.9675	3.0024	S  4	stimulus
361.9866	2.0183	S 11	stimulus
364.0049	1.8181	S 12	stimulus
365.5117	n/a	S  2	response
367.2408	1.8181	S 12	stimulus
367.9105	n/a	S  1	response
370.4768	1.8181	S 12	stimulus
371.5165	n/a	S  2	response
375.1305	10.0081	S 10	stimulus
