onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0123	1.0175	S  5	stimulus
0.6998	n/a	S  3	response
2.7646	1.0175	S  5	stimulus
3.2385	n/a	S  1	response
5.1665	1.0175	S  5	stimulus
5.5547	n/a	S  1	response
8.3191	1.0175	S  4	stimulus
8.9146	n/a	S  2	response
10.3707	1.0175	S  4	stimulus
10.972	n/a	S  1	response
12.4224	1.0175	S  4	stimulus
13.0745	n/a	S  2	response
14.6908	1.0176	S  4	stimulus
15.3131	n/a	S  1	response
16.7425	1.0175	S  5	stimulus
17.5742	n/a	S  3	response
22.7807	1.0175	S  5	stimulus
23.5328	n/a	S  2	response
25.1493	1.0175	S  5	stimulus
25.644	n/a	S  1	response
27.5513	1.0175	S  4	stimulus
28.2652	n/a	S  2	response
30.4536	1.0175	S  4	stimulus
31.067	n/a	S  1	response
33.1391	1.0175	S  5	stimulus
33.5837	n/a	S  1	response
35.3409	1.0175	S  5	stimulus
35.9549	n/a	S  2	response
38.5101	1.0175	S  5	stimulus
39.081	n/a	S  3	response
40.5618	1.0175	S  5	stimulus
41.0909	n/a	S  3	response
43.0805	1.0175	S  4	stimulus
43.6546	n/a	S  3	response
46.1496	1.0175	S  5	stimulus
46.5733	n/a	S  1	response
48.2346	1.0175	S  5	stimulus
48.7195	n/a	S  2	response
53.4055	1.0175	S  4	stimulus
54.0417	n/a	S  2	response
55.6573	1.0175	S  4	stimulus
56.2967	n/a	S  1	response
57.9091	1.0175	S  4	stimulus
58.5816	n/a	S  3	response
60.0108	1.0175	S  4	stimulus
60.6027	n/a	S  1	response
62.2292	1.0176	S  5	stimulus
62.738	n/a	S  2	response
64.6646	1.0175	S  4	stimulus
65.2015	n/a	S  3	response
67.1499	1.0175	S  4	stimulus
67.6913	n/a	S  1	response
70.1857	1.0175	S  4	stimulus
70.8225	n/a	S  3	response
72.3875	1.0175	S  4	stimulus
72.9685	n/a	S  2	response
77.1246	1.0175	S  5	stimulus
77.6197	n/a	S  3	response
79.66	1.0175	S  5	stimulus
80.1046	n/a	S  1	response
82.1954	1.0175	S  5	stimulus
82.6545	n/a	S  2	response
84.4639	1.0175	S  5	stimulus
84.9269	n/a	S  1	response
86.5823	1.0175	S  4	stimulus
87.2456	n/a	S  3	response
88.9008	1.0175	S  5	stimulus
89.4243	n/a	S  3	response
90.9525	1.0175	S  5	stimulus
91.488	n/a	S  2	response
93.5879	1.0175	S  5	stimulus
94.1041	n/a	S  3	response
96.0065	1.0175	S  5	stimulus
96.5465	n/a	S  2	response
98.3584	1.0175	S  4	stimulus
99.0952	n/a	S  2	response
100.5102	1.0175	S  4	stimulus
101.0326	n/a	S  3	response
103.4959	1.0175	S  4	stimulus
104.0801	n/a	S  3	response
105.7811	1.0175	S  5	stimulus
106.3024	n/a	S  3	response
108.4666	n/a	S 10	stimulus
118.4747	1.0175	S  4	stimulus
119.1095	n/a	S  1	response
123.2619	1.0175	S  5	stimulus
123.7506	n/a	S  1	response
125.5471	1.0175	S  5	stimulus
126.0517	n/a	S  2	response
128.0157	1.0175	S  5	stimulus
128.4504	n/a	S  1	response
130.2175	1.0175	S  4	stimulus
130.9116	n/a	S  3	response
132.536	1.0175	S  5	stimulus
133.044	n/a	S  3	response
134.6044	1.0175	S  5	stimulus
135.0102	n/a	S  3	response
136.6393	1.0175	S  5	stimulus
137.1538	n/a	S  2	response
144.6291	1.0175	S  4	stimulus
145.2674	n/a	S  2	response
146.8142	1.0175	S  4	stimulus
147.3972	n/a	S  1	response
149.0994	1.0175	S  4	stimulus
149.7484	n/a	S  3	response
151.5848	1.0175	S  4	stimulus
152.1496	n/a	S  3	response
155.0876	1.0175	S  5	stimulus
155.5282	n/a	S  1	response
158.3569	1.0175	S  5	stimulus
158.8731	n/a	S  2	response
160.4085	1.0175	S  5	stimulus
160.8793	n/a	S  3	response
165.5794	1.0175	S  4	stimulus
166.1454	n/a	S  1	response
168.5651	1.0175	S  5	stimulus
169.0652	n/a	S  2	response
173.7693	1.0175	S  4	stimulus
174.4238	n/a	S  2	response
176.0378	1.0175	S  4	stimulus
176.56	n/a	S  1	response
178.8234	1.0175	S  4	stimulus
179.3661	n/a	S  2	response
181.3755	1.0175	S  4	stimulus
181.871	n/a	S  1	response
183.9609	1.0175	S  5	stimulus
184.3809	n/a	S  2	response
186.0626	1.0175	S  5	stimulus
186.5071	n/a	S  1	response
188.2977	1.0175	S  5	stimulus
188.8082	n/a	S  3	response
190.3661	1.0175	S  5	stimulus
190.7769	n/a	S  1	response
197.3217	1.0175	S  4	stimulus
197.9705	n/a	S  2	response
199.807	1.0175	S  4	stimulus
200.3441	n/a	S  1	response
202.0755	1.0175	S  5	stimulus
202.529	n/a	S  1	response
204.2773	1.0175	S  4	stimulus
204.9402	n/a	S  3	response
207.3464	1.0175	S  4	stimulus
207.8677	n/a	S  3	response
209.715	1.0175	S  4	stimulus
