onset	duration	event_type	trial_type
3.434	n/a	S  3	stimulus
6.45	n/a	S 11	n/a
8.467	n/a	S 12	stimulus
9.682	n/a	S  1	response
11.7	n/a	S 12	stimulus
12.834	n/a	S  1	response
14.333	n/a	S 12	stimulus
15.554	n/a	S  2	response
18.2	n/a	S  3	stimulus
21.233	n/a	S 11	n/a
23.25	n/a	S 12	stimulus
24.378	n/a	S  2	response
26.483	n/a	S 12	stimulus
27.346	n/a	S  1	response
29.916	n/a	S 12	stimulus
30.978	n/a	S  2	response
33.983	n/a	S  4	stimulus
36.999	n/a	S 11	n/a
39.016	n/a	S 12	stimulus
40.594	n/a	S  1	response
42.449	n/a	S 12	stimulus
43.538	n/a	S  2	response
45.282	n/a	S 12	stimulus
46.346	n/a	S  1	response
48.832	n/a	S  3	stimulus
51.849	n/a	S 11	n/a
53.866	n/a	S 12	stimulus
55.01	n/a	S  2	response
57.099	n/a	S 12	stimulus
57.946	n/a	S  1	response
59.732	n/a	S 12	stimulus
60.69	n/a	S  2	response
63.782	n/a	S  4	stimulus
66.799	n/a	S 11	n/a
68.815	n/a	S 12	stimulus
70.922	n/a	S  1	response
72.465	n/a	S 12	stimulus
74.146	n/a	S  2	response
75.098	n/a	S 12	stimulus
76.234	n/a	S  1	response
78.648	n/a	S  3	stimulus
81.665	n/a	S 11	n/a
83.682	n/a	S 12	stimulus
85.457	n/a	S  2	response
86.915	n/a	S 12	stimulus
87.761	n/a	S  1	response
89.548	n/a	S 12	stimulus
90.585	n/a	S  2	response
93.298	n/a	S  4	stimulus
96.315	n/a	S 11	n/a
98.331	n/a	S 12	stimulus
99.593	n/a	S  2	response
101.764	n/a	S 12	stimulus
102.745	n/a	S  1	response
104.998	n/a	S 12	stimulus
106.329	n/a	S  2	response
109.364	n/a	S  3	stimulus
112.381	n/a	S 11	n/a
114.397	n/a	S 12	stimulus
115.553	n/a	S  1	response
117.647	n/a	S 12	stimulus
118.841	n/a	S  2	response
120.481	n/a	S 12	stimulus
121.329	n/a	S  1	response
124.33	n/a	S  3	stimulus
127.347	n/a	S 11	n/a
129.364	n/a	S 12	stimulus
130.265	n/a	S  1	response
132.397	n/a	S 12	stimulus
133.433	n/a	S  1	response
135.23	n/a	S 12	stimulus
136.561	n/a	S  1	response
138.38	n/a	S  3	stimulus
141.397	n/a	S 11	n/a
143.413	n/a	S 12	stimulus
144.505	n/a	S  2	response
146.847	n/a	S 12	stimulus
147.729	n/a	S  2	response
149.896	n/a	S 12	stimulus
151.145	n/a	S  2	response
153.846	n/a	S  4	stimulus
156.863	n/a	S 11	n/a
158.88	n/a	S 12	stimulus
160.153	n/a	S  1	response
162.53	n/a	S 12	stimulus
163.913	n/a	S  2	response
165.363	n/a	S 12	stimulus
166.937	n/a	S  1	response
169.529	n/a	S  4	stimulus
172.546	n/a	S 11	n/a
174.563	n/a	S 12	stimulus
176.096	n/a	S  2	response
177.996	n/a	S 12	stimulus
179.16	n/a	S  2	response
180.829	n/a	S 12	stimulus
182.36	n/a	S  1	response
184.179	n/a	S 10	n/a
192.195	n/a	S  3	stimulus
195.212	n/a	S 11	n/a
197.229	n/a	S 12	stimulus
198.312	n/a	S  1	response
200.279	n/a	S 12	stimulus
201.296	n/a	S  2	response
203.928	n/a	S 12	stimulus
204.768	n/a	S  1	response
207.978	n/a	S  4	stimulus
210.995	n/a	S 11	n/a
213.012	n/a	S 12	stimulus
214.8	n/a	S  1	response
215.645	n/a	S 12	stimulus
216.816	n/a	S  2	response
219.078	n/a	S 12	stimulus
220.312	n/a	S  1	response
223.728	n/a	S  4	stimulus
