onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0128	3.0191	S  4	stimulus
3.0319	2.0183	S 11	stimulus
5.0502	1.8181	S 12	stimulus
6.5889	n/a	S  2	response
8.086	1.8181	S 12	stimulus
9.4276	n/a	S  1	response
10.7215	1.8182	S 12	stimulus
11.7613	n/a	S  2	response
14.2744	3.0191	S  3	stimulus
17.2935	2.0183	S 11	stimulus
19.3118	1.8182	S 12	stimulus
20.1399	n/a	S  1	response
22.7479	1.8182	S 12	stimulus
23.8147	n/a	S  2	response
25.7837	1.8181	S 12	stimulus
27.1109	n/a	S  1	response
29.3366	3.0191	S  3	stimulus
32.3557	2.0183	S 11	stimulus
34.3741	1.8181	S 12	stimulus
35.3531	n/a	S  2	response
37.2097	1.8181	S 12	stimulus
38.0168	n/a	S  1	response
39.8452	1.8181	S 12	stimulus
40.6642	n/a	S  1	response
44.0986	3.0191	S  3	stimulus
47.1177	2.0183	S 11	stimulus
49.1361	1.8181	S 12	stimulus
50.0639	n/a	S  2	response
52.372	1.8181	S 12	stimulus
53.8376	n/a	S  2	response
55.0075	1.8181	S 12	stimulus
55.9151	n/a	S  1	response
59.361	3.0191	S  4	stimulus
62.3802	2.0183	S 11	stimulus
64.3985	1.8181	S 12	stimulus
65.4372	n/a	S  1	response
67.6345	1.8181	S 12	stimulus
68.3509	n/a	S  2	response
70.2699	1.8181	S 12	stimulus
71.0071	n/a	S  1	response
74.7235	3.0024	S  3	stimulus
77.7427	2.0183	S 11	stimulus
79.761	1.8182	S 12	stimulus
80.5368	n/a	S  2	response
82.3965	1.8181	S 12	stimulus
83.1805	n/a	S  1	response
85.4323	1.8181	S 12	stimulus
86.2679	n/a	S  2	response
89.4856	3.0191	S  3	stimulus
92.5047	2.0183	S 11	stimulus
94.523	1.8181	S 12	stimulus
95.2902	n/a	S  1	response
97.759	1.8181	S 12	stimulus
98.6476	n/a	S  1	response
100.3944	1.8181	S 12	stimulus
101.5249	n/a	S  1	response
104.5478	3.0191	S  3	stimulus
107.5669	2.0183	S 11	stimulus
109.5853	1.8181	S 12	stimulus
110.5084	n/a	S  2	response
113.0214	1.8182	S 12	stimulus
113.8934	n/a	S  2	response
116.2573	1.8182	S 12	stimulus
117.1108	n/a	S  2	response
120.1105	3.0191	S  4	stimulus
123.1296	2.0183	S 11	stimulus
125.1479	1.8181	S 12	stimulus
126.363	n/a	S  1	response
128.7842	1.8181	S 12	stimulus
129.4792	n/a	S  2	response
131.6198	1.8182	S 12	stimulus
132.3278	n/a	S  2	response
135.3729	3.0191	S  4	stimulus
138.392	2.0183	S 11	stimulus
140.4103	1.8181	S 12	stimulus
142.2126	n/a	S  1	response
143.6463	1.8181	S 12	stimulus
144.6762	n/a	S  1	response
147.2826	1.8181	S 12	stimulus
147.9136	n/a	S  2	response
151.7362	3.0191	S  3	stimulus
154.7553	2.0183	S 11	stimulus
156.7736	1.8182	S 12	stimulus
157.6746	n/a	S  1	response
159.6093	1.8181	S 12	stimulus
160.4158	n/a	S  2	response
162.2447	1.8181	S 12	stimulus
163.022	n/a	S  1	response
166.5983	3.0191	S  4	stimulus
169.6174	2.0183	S 11	stimulus
171.6357	1.8181	S 12	stimulus
172.5967	n/a	S  1	response
175.272	1.8181	S 12	stimulus
176.0578	n/a	S  2	response
177.9075	1.8181	S 12	stimulus
178.5403	n/a	S  2	response
181.0601	10.0081	S 10	stimulus
191.0682	3.0191	S  3	stimulus
194.0873	2.0183	S 11	stimulus
196.1056	1.8181	S 12	stimulus
197.2797	n/a	S  1	response
199.3416	1.8181	S 12	stimulus
200.1834	n/a	S  1	response
202.9779	1.8181	S 12	stimulus
203.9033	n/a	S  1	response
207.5316	3.0191	S  4	stimulus
210.5507	2.0183	S 11	stimulus
