onset	duration	event_type	trial_type
8.662	n/a	S  4	stimulus
9.884	n/a	S  2	response
10.695	n/a	S  4	stimulus
11.636	n/a	S  1	response
12.745	n/a	S  4	stimulus
14.02	n/a	S  1	response
15.829	n/a	S  5	stimulus
16.62	n/a	S  1	response
17.912	n/a	S  5	stimulus
18.596	n/a	S  3	response
19.978	n/a	S  5	stimulus
20.732	n/a	S  1	response
22.312	n/a	S  5	stimulus
22.964	n/a	S  2	response
25.062	n/a	S  4	stimulus
25.852	n/a	S  3	response
29.412	n/a	S  4	stimulus
30.644	n/a	S  1	response
31.595	n/a	S  4	stimulus
33.004	n/a	S  3	response
33.645	n/a	S  5	stimulus
34.348	n/a	S  3	response
36.428	n/a	S  5	stimulus
37.332	n/a	S  3	response
38.745	n/a	S  4	stimulus
39.86	n/a	S  2	response
41.478	n/a	S  4	stimulus
42.348	n/a	S  1	response
43.911	n/a	S  4	stimulus
44.732	n/a	S  1	response
47.211	n/a	S  4	stimulus
48.364	n/a	S  3	response
49.261	n/a	S  5	stimulus
50.036	n/a	S  1	response
51.494	n/a	S  4	stimulus
52.564	n/a	S  2	response
53.811	n/a	S  4	stimulus
54.876	n/a	S  1	response
58.494	n/a	S  5	stimulus
59.22	n/a	S  3	response
60.844	n/a	S  5	stimulus
61.516	n/a	S  3	response
63.044	n/a	S  5	stimulus
63.74	n/a	S  2	response
65.244	n/a	S  5	stimulus
65.86	n/a	S  1	response
67.361	n/a	S  4	stimulus
68.156	n/a	S  3	response
70.444	n/a	S  5	stimulus
71.084	n/a	S  1	response
72.527	n/a	S  5	stimulus
73.164	n/a	S  3	response
74.66	n/a	S  5	stimulus
75.412	n/a	S  2	response
77.294	n/a	S  5	stimulus
77.876	n/a	S  1	response
83.56	n/a	S  4	stimulus
84.356	n/a	S  1	response
86.06	n/a	S  4	stimulus
87.203	n/a	S  2	response
88.46	n/a	S  4	stimulus
89.707	n/a	S  2	response
90.627	n/a	S  4	stimulus
91.539	n/a	S  1	response
92.81	n/a	S  5	stimulus
93.499	n/a	S  2	response
94.843	n/a	S  4	stimulus
95.803	n/a	S  3	response
97.493	n/a	S  4	stimulus
98.427	n/a	S  2	response
99.61	n/a	S  5	stimulus
100.323	n/a	S  3	response
102.36	n/a	S  4	stimulus
103.323	n/a	S  2	response
104.543	n/a	S  5	stimulus
105.539	n/a	S  3	response
106.776	n/a	S  5	stimulus
107.563	n/a	S  1	response
108.993	n/a	S  5	stimulus
109.707	n/a	S  2	response
111.143	n/a	S  4	stimulus
112.315	n/a	S  3	response
113.676	n/a	S 10	n/a
123.692	n/a	S  5	stimulus
124.435	n/a	S  2	response
128.909	n/a	S  4	stimulus
129.803	n/a	S  3	response
131.842	n/a	S  4	stimulus
132.771	n/a	S  2	response
134.026	n/a	S  4	stimulus
134.915	n/a	S  1	response
136.192	n/a	S  4	stimulus
137.211	n/a	S  2	response
138.809	n/a	S  5	stimulus
139.531	n/a	S  1	response
141.059	n/a	S  4	stimulus
141.987	n/a	S  3	response
143.559	n/a	S  4	stimulus
144.467	n/a	S  3	response
151.625	n/a	S  5	stimulus
152.315	n/a	S  3	response
154.475	n/a	S  5	stimulus
155.115	n/a	S  2	response
156.675	n/a	S  5	stimulus
157.291	n/a	S  2	response
159.858	n/a	S  5	stimulus
160.507	n/a	S  3	response
163.808	n/a	S  4	stimulus
164.827	n/a	S  2	response
166.058	n/a	S  4	stimulus
166.963	n/a	S  1	response
168.125	n/a	S  4	stimulus
168.867	n/a	S  3	response
172.858	n/a	S  5	stimulus
173.53	n/a	S  3	response
175.274	n/a	S  4	stimulus
176.434	n/a	S  1	response
179.491	n/a	S  5	stimulus
180.186	n/a	S  2	response
182.724	n/a	S  5	stimulus
183.402	n/a	S  2	response
185.041	n/a	S  5	stimulus
185.682	n/a	S  3	response
187.374	n/a	S  5	stimulus
187.986	n/a	S  2	response
190.724	n/a	S  4	stimulus
191.97	n/a	S  2	response
193.424	n/a	S  4	stimulus
194.21	n/a	S  3	response
195.474	n/a	S  4	stimulus
196.338	n/a	S  3	response
