onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0023	1.0175	S  4	stimulus
1.3971	n/a	S  2	response
2.0706	1.0175	S  4	stimulus
3.1045	n/a	S  3	response
4.3725	1.0175	S  4	stimulus
5.3156	n/a	S  1	response
7.6585	1.0175	S  5	stimulus
8.5668	n/a	S  2	response
10.1105	1.0175	S  5	stimulus
10.823	n/a	S  3	response
12.846	1.0175	S  5	stimulus
13.4029	n/a	S  3	response
15.1145	1.0175	S  5	stimulus
15.8129	n/a	S  2	response
17.6999	1.0175	S  4	stimulus
18.6364	n/a	S  2	response
23.2044	1.0175	S  4	stimulus
24.2613	n/a	S  3	response
25.4228	1.0175	S  4	stimulus
26.5136	n/a	S  2	response
28.2918	1.0175	S  5	stimulus
28.9173	n/a	S  3	response
30.5937	1.0175	S  5	stimulus
31.2073	n/a	S  1	response
33.4793	1.0175	S  4	stimulus
34.3734	n/a	S  3	response
35.9313	1.0175	S  4	stimulus
36.7971	n/a	S  1	response
38.5835	1.0175	S  4	stimulus
39.4182	n/a	S  1	response
40.7352	1.0175	S  4	stimulus
41.6019	n/a	S  3	response
42.8202	1.0175	S  5	stimulus
43.7994	n/a	S  2	response
45.0053	1.0175	S  4	stimulus
46.1218	n/a	S  2	response
47.2071	1.0175	S  4	stimulus
47.9955	n/a	S  3	response
52.1277	1.0175	S  5	stimulus
52.9565	n/a	S  1	response
54.3295	1.0175	S  5	stimulus
54.9315	n/a	S  1	response
57.0484	1.0175	S  5	stimulus
57.8027	n/a	S  3	response
59.467	1.0175	S  5	stimulus
60.1437	n/a	S  3	response
61.7021	1.0175	S  4	stimulus
62.6399	n/a	S  2	response
63.8372	1.0175	S  5	stimulus
64.2973	n/a	S  2	response
66.089	1.0175	S  5	stimulus
66.6936	n/a	S  1	response
68.1407	1.0175	S  5	stimulus
68.731	n/a	S  1	response
70.3758	1.0175	S  5	stimulus
71.0196	n/a	S  2	response
75.6801	1.0175	S  4	stimulus
76.4932	n/a	S  2	response
78.1654	1.0175	S  4	stimulus
78.9818	n/a	S  2	response
80.217	1.0175	S  4	stimulus
81.4604	n/a	S  1	response
82.3855	1.0175	S  5	stimulus
83.0104	n/a	S  2	response
85.0543	1.0175	S  4	stimulus
86.0029	n/a	S  3	response
87.7899	1.0175	S  4	stimulus
88.6553	n/a	S  1	response
89.8415	1.0175	S  4	stimulus
90.6815	n/a	S  2	response
91.9099	1.0175	S  4	stimulus
92.7001	n/a	S  1	response
94.4286	1.0175	S  5	stimulus
95.2188	n/a	S  1	response
96.9806	1.0175	S  5	stimulus
97.655	n/a	S  3	response
99.3325	1.0175	S  5	stimulus
100.0362	n/a	S  2	response
101.6677	1.0175	S  5	stimulus
102.1661	n/a	S  1	response
104.0196	1.0175	S  4	stimulus
104.7359	n/a	S  2	response
106.5717	n/a	S 10	stimulus
116.5798	1.0175	S  5	stimulus
117.3543	n/a	S  2	response
121.8841	1.0175	S  4	stimulus
122.8079	n/a	S  3	response
124.2193	1.0175	S  4	stimulus
124.9952	n/a	S  1	response
126.5712	1.0175	S  4	stimulus
127.1439	n/a	S  1	response
128.7062	1.0175	S  5	stimulus
129.3089	n/a	S  3	response
131.3751	1.0175	S  4	stimulus
132.2488	n/a	S  3	response
