onset	duration	event_type	trial_type
12.69	n/a	S  5	stimulus
13.585	n/a	S  3	response
15.44	n/a	S  5	stimulus
16.233	n/a	S  1	response
17.84	n/a	S  5	stimulus
18.505	n/a	S  3	response
20.99	n/a	S  4	stimulus
21.953	n/a	S  1	response
23.04	n/a	S  4	stimulus
24.048	n/a	S  3	response
25.09	n/a	S  4	stimulus
25.96	n/a	S  2	response
27.357	n/a	S  4	stimulus
28.264	n/a	S  1	response
29.423	n/a	S  5	stimulus
30.288	n/a	S  2	response
35.473	n/a	S  5	stimulus
36.36	n/a	S  2	response
37.84	n/a	S  5	stimulus
38.456	n/a	S  3	response
40.223	n/a	S  4	stimulus
41.424	n/a	S  2	response
43.123	n/a	S  4	stimulus
44.168	n/a	S  2	response
45.823	n/a	S  5	stimulus
46.576	n/a	S  2	response
48.039	n/a	S  5	stimulus
49.184	n/a	S  2	response
51.223	n/a	S  5	stimulus
52.216	n/a	S  3	response
53.273	n/a	S  5	stimulus
54.216	n/a	S  2	response
55.789	n/a	S  4	stimulus
58.856	n/a	S  5	stimulus
59.752	n/a	S  1	response
60.939	n/a	S  5	stimulus
61.912	n/a	S  3	response
66.122	n/a	S  4	stimulus
67.192	n/a	S  3	response
68.372	n/a	S  4	stimulus
69.256	n/a	S  2	response
70.639	n/a	S  4	stimulus
71.68	n/a	S  3	response
72.739	n/a	S  4	stimulus
73.88	n/a	S  1	response
74.955	n/a	S  5	stimulus
75.632	n/a	S  1	response
77.389	n/a	S  4	stimulus
78.336	n/a	S  3	response
79.872	n/a	S  4	stimulus
80.944	n/a	S  1	response
82.905	n/a	S  4	stimulus
83.76	n/a	S  3	response
85.105	n/a	S  4	stimulus
85.992	n/a	S  1	response
89.838	n/a	S  5	stimulus
90.8	n/a	S  3	response
92.372	n/a	S  5	stimulus
93.08	n/a	S  1	response
94.922	n/a	S  5	stimulus
95.656	n/a	S  2	response
97.205	n/a	S  5	stimulus
98.104	n/a	S  2	response
99.322	n/a	S  4	stimulus
101.064	n/a	S  3	response
