onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0059	1.0175	S  5	stimulus
1.5421	n/a	S  1	response
2.7581	1.0175	S  5	stimulus
3.8807	n/a	S  3	response
5.16	1.0175	S  5	stimulus
5.7007	n/a	S  1	response
8.3126	1.0175	S  4	stimulus
9.2818	n/a	S  1	response
10.3642	1.0175	S  4	stimulus
11.4756	n/a	S  1	response
12.4159	1.0175	S  4	stimulus
13.4305	n/a	S  3	response
14.6844	1.0175	S  4	stimulus
15.5242	n/a	S  1	response
16.7361	1.0175	S  5	stimulus
17.4867	n/a	S  3	response
22.7743	1.0175	S  5	stimulus
23.5064	n/a	S  1	response
25.1428	1.0175	S  5	stimulus
26.0588	n/a	S  3	response
27.5281	1.0175	S  4	stimulus
28.7774	n/a	S  2	response
30.4304	1.0174	S  4	stimulus
31.4148	n/a	S  2	response
33.1159	1.0175	S  5	stimulus
34.0035	n/a	S  2	response
35.3177	1.0175	S  5	stimulus
35.8485	n/a	S  1	response
38.4869	1.0175	S  5	stimulus
39.2345	n/a	S  2	response
40.5386	1.0175	S  5	stimulus
41.0445	n/a	S  2	response
43.0573	1.0175	S  4	stimulus
44.1907	n/a	S  3	response
46.1264	1.0175	S  5	stimulus
46.668	n/a	S  1	response
48.2115	1.0175	S  5	stimulus
48.8492	n/a	S  2	response
53.3823	1.0175	S  4	stimulus
54.2466	n/a	S  1	response
55.6341	1.0175	S  4	stimulus
56.5653	n/a	S  3	response
57.8859	1.0175	S  4	stimulus
58.9788	n/a	S  1	response
59.9876	1.0175	S  4	stimulus
60.875	n/a	S  3	response
62.2061	1.0175	S  5	stimulus
63.1112	n/a	S  2	response
64.6414	1.0175	S  4	stimulus
65.8474	n/a	S  1	response
67.1267	1.0175	S  4	stimulus
68.2097	n/a	S  2	response
70.1625	1.0175	S  4	stimulus
70.9809	n/a	S  1	response
72.3643	1.0175	S  4	stimulus
73.4446	n/a	S  2	response
77.1015	1.0175	S  5	stimulus
78.1344	n/a	S  3	response
79.6202	1.0175	S  5	stimulus
80.2706	n/a	S  1	response
82.1555	1.0175	S  5	stimulus
82.8018	n/a	S  1	response
84.424	1.0175	S  5	stimulus
85.378	n/a	S  3	response
86.5424	1.0175	S  4	stimulus
87.3578	n/a	S  1	response
88.8609	1.0175	S  5	stimulus
89.5702	n/a	S  2	response
90.9126	1.0175	S  5	stimulus
91.7302	n/a	S  3	response
93.5481	1.0175	S  5	stimulus
94.1214	n/a	S  2	response
95.9667	1.0175	S  5	stimulus
96.5538	n/a	S  2	response
98.3186	1.0175	S  4	stimulus
99.4824	n/a	S  3	response
100.4703	1.0175	S  4	stimulus
101.3987	n/a	S  2	response
103.4561	1.0175	S  4	stimulus
104.316	n/a	S  2	response
105.7579	1.0175	S  5	stimulus
106.6897	n/a	S  3	response
108.4434	n/a	S 10	stimulus
118.4515	1.0175	S  4	stimulus
119.6467	n/a	S  3	response
123.2387	1.0175	S  5	stimulus
123.9728	n/a	S  2	response
125.5239	1.0175	S  5	stimulus
126.179	n/a	S  1	response
127.9925	1.0175	S  5	stimulus
128.609	n/a	S  1	response
130.1943	1.0175	S  4	stimulus
131.4525	n/a	S  1	response
132.5129	1.0175	S  5	stimulus
133.3325	n/a	S  3	response
134.5812	1.0175	S  5	stimulus
135.1574	n/a	S  1	response
136.6162	1.0175	S  5	stimulus
137.1974	n/a	S  2	response
144.6059	1.0175	S  4	stimulus
145.3996	n/a	S  2	response
146.791	1.0175	S  4	stimulus
147.5932	n/a	S  2	response
149.0762	1.0175	S  4	stimulus
149.9757	n/a	S  3	response
151.5616	1.0175	S  4	stimulus
152.4555	n/a	S  1	response
155.0644	1.0175	S  5	stimulus
155.6417	n/a	S  1	response
158.3337	1.0175	S  5	stimulus
158.9978	n/a	S  3	response
160.3853	1.0175	S  5	stimulus
161.0691	n/a	S  3	response
165.5562	1.0175	S  4	stimulus
166.2963	n/a	S  2	response
168.5419	1.0175	S  5	stimulus
169.14	n/a	S  1	response
173.7461	1.0175	S  4	stimulus
174.4948	n/a	S  1	response
176.0146	1.0175	S  4	stimulus
176.8559	n/a	S  2	response
178.8002	1.0175	S  4	stimulus
179.8596	n/a	S  3	response
181.3356	1.0175	S  4	stimulus
182.3608	n/a	S  2	response
183.921	1.0175	S  5	stimulus
184.677	n/a	S  3	response
186.0227	1.0175	S  5	stimulus
186.6631	n/a	S  2	response
188.2579	1.0175	S  5	stimulus
188.7918	n/a	S  2	response
190.3262	1.0175	S  5	stimulus
190.818	n/a	S  1	response
197.2818	1.0175	S  4	stimulus
198.3027	n/a	S  3	response
199.7671	1.0175	S  4	stimulus
200.3339	n/a	S  3	response
202.069	1.0175	S  5	stimulus
202.8538	n/a	S  3	response
204.2708	1.0175	S  4	stimulus
205.3463	n/a	S  2	response
207.3566	1.0175	S  4	stimulus
208.2736	n/a	S  3	response
209.7252	1.0175	S  4	stimulus
210.5511	n/a	S  3	response
211.7768	1.0175	S  5	stimulus
212.5547	n/a	S  2	response
214.5791	1.0175	S  5	stimulus
215.3683	n/a	S  3	response
221.051	1.0175	S  4	stimulus
221.8644	n/a	S  2	response
223.4529	1.0175	S  4	stimulus
224.2031	n/a	S  1	response
225.9549	1.0175	S  4	stimulus
226.8329	n/a	S  2	response
228.507	1.0175	S  5	stimulus
229.2241	n/a	S  2	response
233.3109	1.0175	S  4	stimulus
234.1226	n/a	S  1	response
235.9964	1.0175	S  4	stimulus
236.7226	n/a	S  1	response
238.0814	1.0175	S  4	stimulus
239.21	n/a	S  3	response
241.4842	1.0175	S  4	stimulus
242.4624	n/a	S  3	response
244.1863	1.0175	S  5	stimulus
245.0274	n/a	S  1	response
246.3548	n/a	S 10	stimulus
