onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0149	3.0191	S  3	stimulus
3.034	2.0183	S 11	stimulus
5.0523	1.8181	S 12	stimulus
5.7624	n/a	S  2	response
8.6885	1.8182	S 12	stimulus
9.5486	n/a	S  1	response
12.1246	1.8181	S 12	stimulus
14.2933	n/a	S  1	response
16.3781	3.0191	S  3	stimulus
19.3972	2.0183	S 11	stimulus
21.4155	1.8181	S 12	stimulus
22.2907	n/a	S  2	response
24.6514	1.8182	S 12	stimulus
25.5179	n/a	S  1	response
28.0875	1.8181	S 12	stimulus
29.1941	n/a	S  2	response
32.2409	3.0191	S  3	stimulus
35.26	2.0183	S 11	stimulus
37.2783	1.8181	S 12	stimulus
38.0063	n/a	S  1	response
39.9137	1.8181	S 12	stimulus
40.6137	n/a	S  1	response
42.7494	1.8181	S 12	stimulus
43.3937	n/a	S  1	response
46.4023	3.0191	S  4	stimulus
49.4214	2.0183	S 11	stimulus
51.4397	1.8181	S 12	stimulus
52.1971	n/a	S  1	response
55.076	1.8181	S 12	stimulus
55.9206	n/a	S  1	response
57.9116	1.818	S 12	stimulus
58.6681	n/a	S  1	response
61.3644	3.0191	S  4	stimulus
64.3835	2.0183	S 11	stimulus
66.4018	1.8181	S 12	stimulus
67.304	n/a	S  1	response
69.2374	1.8181	S 12	stimulus
69.8139	n/a	S  2	response
72.6735	1.8181	S 12	stimulus
73.1889	n/a	S  2	response
75.8261	3.0191	S  4	stimulus
78.8452	2.0183	S 11	stimulus
80.8635	1.8181	S 12	stimulus
81.771	n/a	S  1	response
83.6991	1.8181	S 12	stimulus
85.236	n/a	S  2	response
86.7349	1.8181	S 12	stimulus
88.0795	n/a	S  2	response
90.3878	3.0191	S  4	stimulus
93.4069	2.0183	S 11	stimulus
95.4252	1.8181	S 12	stimulus
96.5667	n/a	S  2	response
98.461	1.8181	S 12	stimulus
99.0616	n/a	S  2	response
101.2966	1.8181	S 12	stimulus
102.0016	n/a	S  2	response
105.7502	3.0191	S  3	stimulus
108.7693	2.0183	S 11	stimulus
110.7876	1.8181	S 12	stimulus
111.76	n/a	S  2	response
114.4239	1.8181	S 12	stimulus
115.8424	n/a	S  2	response
117.6598	1.8181	S 12	stimulus
118.4747	n/a	S  2	response
121.2127	3.0191	S  4	stimulus
124.2318	2.0183	S 11	stimulus
126.2501	1.8181	S 12	stimulus
127.3257	n/a	S  1	response
129.0857	1.8181	S 12	stimulus
129.8881	n/a	S  2	response
131.7212	1.8181	S 12	stimulus
132.7517	n/a	S  1	response
135.5743	3.0191	S  3	stimulus
138.5934	2.0183	S 11	stimulus
140.6117	1.8181	S 12	stimulus
141.9051	n/a	S  2	response
143.6475	1.8181	S 12	stimulus
145.3	n/a	S  2	response
146.6833	1.8181	S 12	stimulus
147.6388	n/a	S  1	response
151.2536	3.0191	S  4	stimulus
154.2727	2.0183	S 11	stimulus
156.291	1.8181	S 12	stimulus
157.6046	n/a	S  1	response
158.9265	1.8181	S 12	stimulus
159.6657	n/a	S  2	response
161.7621	1.8181	S 12	stimulus
162.5144	n/a	S  1	response
165.5151	3.0191	S  4	stimulus
168.5342	2.0183	S 11	stimulus
170.5525	1.8181	S 12	stimulus
171.5878	n/a	S  1	response
174.1888	1.8181	S 12	stimulus
175.3652	n/a	S  2	response
177.6249	1.8181	S 12	stimulus
179.0502	n/a	S  1	response
181.7783	10.0081	S 10	stimulus
191.7863	3.0191	S  3	stimulus
194.8054	2.0183	S 11	stimulus
196.8237	1.8181	S 12	stimulus
197.6794	n/a	S  2	response
199.6593	1.8182	S 12	stimulus
200.5432	n/a	S  1	response
203.2956	1.8181	S 12	stimulus
204.1842	n/a	S  1	response
206.9486	3.0191	S  4	stimulus
209.9677	2.0183	S 11	stimulus
211.986	1.8181	S 12	stimulus
213.119	n/a	S  1	response
215.4221	1.8181	S 12	stimulus
216.7013	n/a	S  2	response
218.658	1.8181	S 12	stimulus
219.4849	n/a	S  1	response
222.0107	3.0024	S  3	stimulus
225.0298	2.0183	S 11	stimulus
227.0481	1.8181	S 12	stimulus
228.1459	n/a	S  1	response
230.6844	1.8181	S 12	stimulus
231.3833	n/a	S  1	response
233.7202	1.8181	S 12	stimulus
234.7232	n/a	S  1	response
237.8735	3.0191	S  4	stimulus
240.8927	2.0183	S 11	stimulus
242.911	1.8181	S 12	stimulus
244.0215	n/a	S  2	response
246.1469	1.8181	S 12	stimulus
247.0427	n/a	S  1	response
248.7823	1.8181	S 12	stimulus
249.4376	n/a	S  2	response
252.6355	3.0191	S  3	stimulus
255.6546	2.0183	S 11	stimulus
257.6729	1.8181	S 12	stimulus
258.6461	n/a	S  1	response
260.3083	1.8181	S 12	stimulus
261.0972	n/a	S  1	response
263.3441	1.8181	S 12	stimulus
264.5245	n/a	S  2	response
267.7977	3.0191	S  3	stimulus
270.8168	2.0183	S 11	stimulus
272.8351	1.8181	S 12	stimulus
273.8018	n/a	S  2	response
276.2879	1.8181	S 12	stimulus
276.9241	n/a	S  2	response
278.9233	1.8181	S 12	stimulus
279.7728	n/a	S  2	response
283.2602	3.0191	S  4	stimulus
286.2793	2.0183	S 11	stimulus
288.2976	1.8181	S 12	stimulus
289.685	n/a	S  2	response
290.933	1.8181	S 12	stimulus
291.7387	n/a	S  2	response
293.9688	1.8181	S 12	stimulus
294.8698	n/a	S  1	response
298.5225	3.0191	S  4	stimulus
301.5416	2.0183	S 11	stimulus
303.5599	1.8181	S 12	stimulus
304.6082	n/a	S  2	response
306.996	1.8181	S 12	stimulus
308.1293	n/a	S  2	response
310.0318	1.8181	S 12	stimulus
310.6304	n/a	S  2	response
314.0851	3.0191	S  3	stimulus
317.1042	2.0183	S 11	stimulus
319.1225	1.8181	S 12	stimulus
320.1526	n/a	S  2	response
322.1582	1.8181	S 12	stimulus
323.0551	n/a	S  2	response
324.9939	1.8181	S 12	stimulus
325.7487	n/a	S  2	response
328.847	3.0191	S  3	stimulus
331.8661	2.0183	S 11	stimulus
333.8844	1.8181	S 12	stimulus
334.8071	n/a	S  1	response
336.9202	1.8181	S 12	stimulus
337.8971	n/a	S  2	response
340.1561	1.8181	S 12	stimulus
340.9331	n/a	S  1	response
343.8091	3.0191	S  4	stimulus
346.8282	2.0183	S 11	stimulus
348.8465	1.8181	S 12	stimulus
349.7603	n/a	S  2	response
352.0824	1.8181	S 12	stimulus
352.994	n/a	S  2	response
355.7187	1.8181	S 12	stimulus
356.2152	n/a	S  2	response
360.0722	3.0191	S  3	stimulus
