onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0158	3.0191	S  4	stimulus
3.0349	2.0183	S 11	stimulus
5.0532	1.8181	S 12	stimulus
6.3184	n/a	S  2	response
8.4893	1.8181	S 12	stimulus
9.3819	n/a	S  2	response
11.1248	1.8181	S 12	stimulus
12.4369	n/a	S  1	response
15.4783	3.0191	S  4	stimulus
18.4974	2.0183	S 11	stimulus
20.5157	1.8181	S 12	stimulus
21.6115	n/a	S  1	response
23.9518	1.8181	S 12	stimulus
24.8039	n/a	S  1	response
26.7874	1.8181	S 12	stimulus
27.565	n/a	S  1	response
30.7406	3.0191	S  3	stimulus
33.7597	2.0183	S 11	stimulus
35.778	1.8181	S 12	stimulus
36.6672	n/a	S  1	response
38.4135	1.8181	S 12	stimulus
39.5196	n/a	S  2	response
41.2491	1.8181	S 12	stimulus
42.252	n/a	S  1	response
44.7019	3.0191	S  4	stimulus
47.721	2.0183	S 11	stimulus
49.7393	1.8014	S 12	stimulus
50.9667	n/a	S  2	response
53.3589	1.8181	S 12	stimulus
54.2004	n/a	S  1	response
55.9943	1.8181	S 12	stimulus
57.2253	n/a	S  2	response
59.6473	3.0191	S  3	stimulus
62.6664	2.0183	S 11	stimulus
64.6847	1.8181	S 12	stimulus
65.645	n/a	S  1	response
67.9206	1.8181	S 12	stimulus
69.0073	n/a	S  1	response
71.3567	1.8181	S 12	stimulus
72.8347	n/a	S  2	response
75.1098	3.0191	S  4	stimulus
78.1289	2.0183	S 11	stimulus
80.1472	1.8181	S 12	stimulus
81.0731	n/a	S  1	response
83.1829	1.8181	S 12	stimulus
83.8818	n/a	S  1	response
86.8192	1.8181	S 12	stimulus
87.8217	n/a	S  2	response
90.9725	3.0192	S  4	stimulus
93.9917	2.0183	S 11	stimulus
96.01	1.8181	S 12	stimulus
97.3676	n/a	S  2	response
99.2459	1.8181	S 12	stimulus
100.2461	n/a	S  2	response
102.0815	1.8181	S 12	stimulus
103.3499	n/a	S  1	response
105.8346	3.019	S  3	stimulus
108.8535	2.0185	S 11	stimulus
110.872	1.8181	S 12	stimulus
111.9345	n/a	S  2	response
114.5082	1.8181	S 12	stimulus
115.2482	n/a	S  2	response
118.1445	1.8181	S 12	stimulus
118.9256	n/a	S  2	response
121.7975	3.0191	S  3	stimulus
124.8166	2.0183	S 11	stimulus
126.8349	1.8181	S 12	stimulus
127.7103	n/a	S  1	response
130.271	1.8181	S 12	stimulus
131.1227	n/a	S  1	response
133.3068	1.8181	S 12	stimulus
134.2214	n/a	S  2	response
137.5602	3.0191	S  3	stimulus
140.5793	2.0183	S 11	stimulus
142.5976	1.8181	S 12	stimulus
143.5585	n/a	S  2	response
145.8335	1.8181	S 12	stimulus
146.6796	n/a	S  1	response
149.4698	1.8181	S 12	stimulus
150.4932	n/a	S  2	response
153.2228	3.0191	S  3	stimulus
156.2419	2.0183	S 11	stimulus
158.2602	1.8181	S 12	stimulus
159.1679	n/a	S  2	response
