onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0136	1.0175	S  4	stimulus
2.4489	1.0175	S  4	stimulus
3.6846	n/a	S  2	response
4.8342	1.0175	S  5	stimulus
6.0195	n/a	S  1	response
8.1369	1.0175	S  5	stimulus
9.1694	n/a	S  2	response
11.1893	1.0175	S  5	stimulus
11.8943	n/a	S  2	response
13.2577	1.0175	S  5	stimulus
13.958	n/a	S  3	response
15.6263	1.0175	S  4	stimulus
16.3967	n/a	S  1	response
17.9782	1.0175	S  4	stimulus
19.0853	n/a	S  1	response
22.5819	1.0175	S  4	stimulus
23.614	n/a	S  1	response
25.084	1.0175	S  5	stimulus
25.7952	n/a	S  2	response
27.2858	1.0175	S  4	stimulus
28.3489	n/a	S  2	response
30.1214	1.0175	S  4	stimulus
31.4	n/a	S  3	response
32.907	1.0175	S  4	stimulus
33.6437	n/a	S  3	response
35.3757	1.0175	S  4	stimulus
36.5287	n/a	S  1	response
38.4449	1.0175	S  5	stimulus
39.2761	n/a	S  1	response
40.8635	1.0175	S  5	stimulus
41.5035	n/a	S  1	response
42.9819	1.0175	S  5	stimulus
43.6623	n/a	S  2	response
45.9176	1.0175	S  5	stimulus
46.7733	n/a	S  3	response
48.2862	1.0175	S  4	stimulus
48.8983	n/a	S  1	response
53.9742	1.0175	S  5	stimulus
54.8768	n/a	S  3	response
56.176	1.0175	S  5	stimulus
56.9893	n/a	S  2	response
59.1617	1.0175	S  5	stimulus
59.9092	n/a	S  1	response
61.4469	1.0175	S  5	stimulus
62.1566	n/a	S  2	response
63.8322	1.0175	S  4	stimulus
64.6328	n/a	S  2	response
66.2341	1.0175	S  5	stimulus
66.7777	n/a	S  3	response
68.5027	1.0175	S  5	stimulus
69.2164	n/a	S  2	response
71.1548	1.0175	S  5	stimulus
71.8602	n/a	S  1	response
73.3733	1.0175	S  5	stimulus
74.0875	n/a	S  3	response
78.7443	1.0175	S  4	stimulus
80.3274	n/a	S  3	response
81.213	1.0175	S  4	stimulus
82.1386	n/a	S  1	response
83.5149	1.0175	S  4	stimulus
84.7259	n/a	S  3	response
85.7	1.0175	S  5	stimulus
86.4172	n/a	S  2	response
87.735	1.0175	S  5	stimulus
88.4934	n/a	S  3	response
89.7866	1.0175	S  4	stimulus
90.6621	n/a	S  1	response
91.855	1.0175	S  4	stimulus
92.8083	n/a	S  3	response
93.9901	1.0175	S  4	stimulus
94.847	n/a	S  1	response
96.1918	1.0175	S  4	stimulus
97.0344	n/a	S  3	response
99.0108	1.0175	S  5	stimulus
100.0731	n/a	S  3	response
101.3961	1.0175	S  4	stimulus
102.463	n/a	S  2	response
103.5979	1.0175	S  5	stimulus
104.468	n/a	S  1	response
105.6329	1.0175	S  5	stimulus
106.4591	n/a	S  1	response
108.0348	n/a	S 10	stimulus
118.043	1.0175	S  4	stimulus
119.1151	n/a	S  1	response
122.9636	1.0175	S  4	stimulus
124.0286	n/a	S  3	response
125.1654	1.0175	S  4	stimulus
126.0686	n/a	S  1	response
128.0178	1.0175	S  4	stimulus
128.9084	n/a	S  2	response
130.2029	1.0175	S  5	stimulus
131.3696	n/a	S  2	response
132.8383	1.0174	S  5	stimulus
133.5646	n/a	S  2	response
135.4905	1.0175	S  5	stimulus
136.1283	n/a	S  3	response
138.2928	1.0175	S  4	stimulus
138.9394	n/a	S  1	response
145.582	1.0175	S  4	stimulus
146.5505	n/a	S  3	response
148.351	1.0175	S  5	stimulus
148.9893	n/a	S  1	response
150.4026	1.0175	S  5	stimulus
151.204	n/a	S  1	response
152.9547	1.0175	S  5	stimulus
153.594	n/a	S  3	response
156.9079	1.0175	S  4	stimulus
157.624	n/a	S  2	response
159.2432	1.0175	S  4	stimulus
160.8177	n/a	S  3	response
161.4783	1.0175	S  4	stimulus
162.5987	n/a	S  3	response
166.7493	1.0175	S  4	stimulus
168.0137	n/a	S  2	response
170.152	1.0175	S  5	stimulus
170.8299	n/a	S  2	response
175.7399	1.0175	S  4	stimulus
176.6621	n/a	S  1	response
178.1252	1.0175	S  4	stimulus
178.9708	n/a	S  1	response
180.3603	1.0175	S  4	stimulus
182.022	n/a	S  3	response
183.1626	1.0175	S  4	stimulus
184.0368	n/a	S  1	response
185.2476	1.0175	S  5	stimulus
186.1118	n/a	S  1	response
187.7664	1.0175	S  5	stimulus
188.473	n/a	S  1	response
189.9348	1.0175	S  5	stimulus
190.8605	n/a	S  2	response
192.0031	1.0175	S  4	stimulus
192.7992	n/a	S  2	response
199.5259	1.0175	S  5	stimulus
200.774	n/a	S  2	response
201.8945	1.0175	S  5	stimulus
202.6739	n/a	S  3	response
204.1797	1.0175	S  5	stimulus
204.8013	n/a	S  1	response
206.4649	1.0175	S  5	stimulus
207.1962	n/a	S  3	response
208.5833	1.0175	S  4	stimulus
209.4149	n/a	S  1	response
211.8693	1.0175	S  4	stimulus
212.7049	n/a	S  2	response
214.388	1.0175	S  4	stimulus
215.2523	n/a	S  2	response
217.4739	1.0175	S  4	stimulus
218.4546	n/a	S  1	response
222.2778	1.0175	S  5	stimulus
222.9283	n/a	S  1	response
224.3295	1.0175	S  5	stimulus
225.022	n/a	S  3	response
226.9649	1.0175	S  5	stimulus
227.8206	n/a	S  2	response
229.6338	1.0175	S  4	stimulus
230.4881	n/a	S  2	response
234.3876	1.0175	S  4	stimulus
235.5642	n/a	S  2	response
237.1399	1.0175	S  4	stimulus
238.3117	n/a	S  3	response
239.5251	1.0175	S  4	stimulus
240.6365	n/a	S  3	response
241.9271	1.0175	S  5	stimulus
243.1265	n/a	S  3	response
243.9621	1.0175	S  5	stimulus
244.6415	n/a	S  3	response
246.1972	n/a	S 10	stimulus
