onset	duration	event_type	trial_type
8.669	n/a	S  3	stimulus
11.685	n/a	S 11	n/a
13.702	n/a	S 12	stimulus
14.766	n/a	S  1	response
16.735	n/a	S 12	stimulus
17.958	n/a	S  1	response
19.768	n/a	S 12	stimulus
20.878	n/a	S  1	response
24.018	n/a	S  3	stimulus
27.035	n/a	S 11	n/a
29.051	n/a	S 12	stimulus
30.302	n/a	S  2	response
31.685	n/a	S 12	stimulus
32.774	n/a	S  2	response
35.118	n/a	S 12	stimulus
36.638	n/a	S  2	response
39.068	n/a	S  3	stimulus
42.084	n/a	S 11	n/a
44.101	n/a	S 12	stimulus
45.173	n/a	S  1	response
47.134	n/a	S 12	stimulus
48.469	n/a	S  1	response
49.768	n/a	S 12	stimulus
51.245	n/a	S  2	response
53.934	n/a	S  4	stimulus
56.951	n/a	S 11	n/a
58.967	n/a	S 12	stimulus
60.589	n/a	S  2	response
61.617	n/a	S 12	stimulus
63.221	n/a	S  2	response
65.051	n/a	S 12	stimulus
66.293	n/a	S  2	response
68.5	n/a	S  3	stimulus
71.534	n/a	S 11	n/a
73.55	n/a	S 12	stimulus
74.613	n/a	S  1	response
77.184	n/a	S 12	stimulus
78.509	n/a	S  1	response
80.217	n/a	S 12	stimulus
81.469	n/a	S  1	response
84.067	n/a	S  3	stimulus
87.083	n/a	S 11	n/a
89.1	n/a	S 12	stimulus
90.549	n/a	S  2	response
91.933	n/a	S 12	stimulus
92.917	n/a	S  2	response
95.566	n/a	S 12	stimulus
96.333	n/a	S  2	response
99.316	n/a	S  3	stimulus
102.333	n/a	S 11	n/a
104.35	n/a	S 12	stimulus
106.349	n/a	S  1	response
107.783	n/a	S 12	stimulus
108.837	n/a	S  1	response
110.616	n/a	S 12	stimulus
111.861	n/a	S  1	response
114.466	n/a	S  3	stimulus
117.499	n/a	S 11	n/a
119.516	n/a	S 12	stimulus
120.781	n/a	S  2	response
122.949	n/a	S 12	stimulus
124.181	n/a	S  2	response
125.782	n/a	S 12	stimulus
127.413	n/a	S  1	response
129.632	n/a	S  3	stimulus
132.649	n/a	S 11	n/a
134.665	n/a	S 12	stimulus
135.964	n/a	S  2	response
137.899	n/a	S 12	stimulus
