onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0152	1.0175	S  5	stimulus
1.2198	n/a	S  1	response
2.2504	1.0175	S  5	stimulus
2.9273	n/a	S  2	response
4.6023	1.0175	S  5	stimulus
5.2646	n/a	S  3	response
8.8891	1.0175	S  5	stimulus
9.452	n/a	S  1	response
11.3409	1.0176	S  4	stimulus
12.2669	n/a	S  3	response
14.4269	1.0175	S  4	stimulus
15.3431	n/a	S  3	response
16.7955	1.0175	S  4	stimulus
17.5179	n/a	S  2	response
18.8638	1.0175	S  4	stimulus
19.7179	n/a	S  1	response
24.1347	1.0175	S  5	stimulus
24.849	n/a	S  2	response
27.4707	1.0175	S  5	stimulus
27.9938	n/a	S  2	response
29.7059	1.0175	S  4	stimulus
30.3513	n/a	S  2	response
33.0586	1.0175	S  4	stimulus
33.9324	n/a	S  3	response
36.5948	1.0175	S  4	stimulus
37.4098	n/a	S  3	response
38.7298	1.0175	S  5	stimulus
39.4848	n/a	S  1	response
40.9316	1.0175	S  5	stimulus
41.5434	n/a	S  1	response
43.1501	1.0175	S  4	stimulus
43.9671	n/a	S  1	response
45.4853	1.0175	S  4	stimulus
46.2282	n/a	S  2	response
47.8038	1.0175	S  4	stimulus
48.7743	n/a	S  3	response
50.2058	1.0175	S  4	stimulus
51.0255	n/a	S  2	response
55.093	1.0175	S  5	stimulus
56.0204	n/a	S  3	response
58.1622	1.0175	S  4	stimulus
59.0227	n/a	S  1	response
60.5975	1.0175	S  4	stimulus
61.3451	n/a	S  2	response
62.7492	1.0175	S  4	stimulus
63.6226	n/a	S  1	response
65.368	1.0175	S  4	stimulus
66.0725	n/a	S  1	response
67.5531	1.0175	S  5	stimulus
68.5275	n/a	S  3	response
69.855	1.0175	S  5	stimulus
70.4461	n/a	S  1	response
71.9233	1.0175	S  5	stimulus
72.5535	n/a	S  3	response
74.4587	1.0175	S  5	stimulus
75.0409	n/a	S  1	response
80.0799	1.0175	S  4	stimulus
81.0319	n/a	S  3	response
82.2817	1.0175	S  4	stimulus
82.9981	n/a	S  2	response
84.6836	1.0175	S  4	stimulus
85.6831	n/a	S  3	response
87.1022	1.0175	S  5	stimulus
87.7555	n/a	S  1	response
89.3874	1.0175	S  5	stimulus
90.0805	n/a	S  3	response
91.5892	1.0175	S  5	stimulus
92.0703	n/a	S  2	response
93.7743	1.0175	S  5	stimulus
94.3077	n/a	S  2	response
96.4264	1.0175	S  4	stimulus
97.2964	n/a	S  1	response
98.6615	1.0175	S  4	stimulus
99.2702	n/a	S  1	response
101.4471	1.0175	S  5	stimulus
102.3313	n/a	S  3	response
104.8999	1.0175	S  5	stimulus
105.6011	n/a	S  2	response
107.1017	1.0175	S  5	stimulus
107.9036	n/a	S  3	response
109.4536	1.0175	S  4	stimulus
110.1885	n/a	S  2	response
111.5219	n/a	S 10	stimulus
121.53	1.0175	S  4	stimulus
122.4242	n/a	S  3	response
125.8502	1.0175	S  4	stimulus
126.7318	n/a	S  1	response
128.0853	1.0175	S  5	stimulus
128.9141	n/a	S  3	response
131.2045	1.0175	S  4	stimulus
131.8515	n/a	S  2	response
133.4897	1.0175	S  5	stimulus
134.0188	n/a	S  2	response
135.9917	1.0175	S  4	stimulus
136.8088	n/a	S  3	response
138.427	1.0175	S  4	stimulus
139.1137	n/a	S  2	response
140.562	1.0175	S  4	stimulus
141.6862	n/a	S  3	response
147.2841	1.0175	S  5	stimulus
148.0759	n/a	S  1	response
149.3358	1.0175	S  5	stimulus
150.0083	n/a	S  3	response
151.7044	1.0175	S  5	stimulus
152.542	n/a	S  3	response
153.7894	1.0175	S  5	stimulus
154.4406	n/a	S  2	response
155.8911	1.0175	S  4	stimulus
156.7606	n/a	S  1	response
158.4431	1.0175	S  4	stimulus
159.1505	n/a	S  1	response
160.6283	1.0175	S  4	stimulus
161.5092	n/a	S  3	response
165.4488	1.0175	S  4	stimulus
166.1715	n/a	S  1	response
167.4838	1.0175	S  5	stimulus
168.2877	n/a	S  3	response
171.7039	1.0175	S  5	stimulus
172.4388	n/a	S  2	response
174.0891	1.0175	S  5	stimulus
174.8024	n/a	S  1	response
176.1575	1.0175	S  5	stimulus
176.7248	n/a	S  2	response
178.4593	1.0175	S  4	stimulus
179.0823	n/a	S  2	response
181.2115	1.0175	S  5	stimulus
182.1259	n/a	S  3	response
183.4634	1.0175	S  5	stimulus
184.1834	n/a	S  1	response
185.6651	1.0175	S  5	stimulus
186.4795	n/a	S  1	response
188.3506	1.0175	S  5	stimulus
188.9432	n/a	S  2	response
195.8067	1.0175	S  4	stimulus
196.593	n/a	S  3	response
198.8758	1.0175	S  4	stimulus
199.6728	n/a	S  1	response
201.1109	1.0175	S  4	stimulus
202.0628	n/a	S  3	response
203.5129	1.0175	S  4	stimulus
204.2102	n/a	S  3	response
205.8981	1.0175	S  5	stimulus
206.4927	n/a	S  2	response
208.5836	1.0175	S  5	stimulus
209.1462	n/a	S  1	response
211.5694	1.0175	S  5	stimulus
212.1537	n/a	S  2	response
213.9713	1.0175	S  4	stimulus
214.7661	n/a	S  2	response
218.7085	1.0175	S  4	stimulus
219.3221	n/a	S  2	response
221.1104	1.0175	S  5	stimulus
221.9608	n/a	S  3	response
223.7125	1.0175	S  5	stimulus
224.392	n/a	S  1	response
227.0485	1.0175	S  5	stimulus
227.8257	n/a	S  3	response
231.5689	1.0175	S  5	stimulus
232.1343	n/a	S  2	response
234.2544	1.0175	S  4	stimulus
235.1479	n/a	S  1	response
237.2902	1.0175	S  4	stimulus
238.0715	n/a	S  2	response
240.6262	1.0175	S  4	stimulus
241.2938	n/a	S  2	response
243.0615	1.0175	S  4	stimulus
243.895	n/a	S  1	response
245.2965	0.0002	S 10	stimulus
