onset	duration	event_type	trial_type
8.522	n/a	S  3	stimulus
11.538	n/a	S 11	n/a
13.555	n/a	S 12	stimulus
14.539	n/a	S  1	response
16.788	n/a	S 12	stimulus
17.515	n/a	S  1	response
20.021	n/a	S 12	stimulus
20.795	n/a	S  2	response
24.388	n/a	S  4	stimulus
27.421	n/a	S 11	n/a
29.438	n/a	S 12	stimulus
30.379	n/a	S  2	response
32.871	n/a	S 12	stimulus
33.667	n/a	S  2	response
35.504	n/a	S 12	stimulus
36.339	n/a	S  1	response
39.454	n/a	S  4	stimulus
42.488	n/a	S 11	n/a
44.504	n/a	S 12	stimulus
45.595	n/a	S  2	response
47.337	n/a	S 12	stimulus
48.275	n/a	S  1	response
50.371	n/a	S 12	stimulus
51.363	n/a	S  2	response
54.437	n/a	S  4	stimulus
57.454	n/a	S 11	n/a
59.471	n/a	S 12	stimulus
61.523	n/a	S  1	response
62.704	n/a	S 12	stimulus
64.003	n/a	S  1	response
65.754	n/a	S 12	stimulus
67.395	n/a	S  1	response
69.404	n/a	S  3	stimulus
72.42	n/a	S 11	n/a
74.437	n/a	S 12	stimulus
75.571	n/a	S  1	response
77.87	n/a	S 12	stimulus
78.595	n/a	S  2	response
81.103	n/a	S 12	stimulus
82.083	n/a	S  2	response
85.453	n/a	S  4	stimulus
88.486	n/a	S 11	n/a
90.503	n/a	S 12	stimulus
91.619	n/a	S  1	response
93.936	n/a	S 12	stimulus
94.986	n/a	S  1	response
96.57	n/a	S 12	stimulus
97.754	n/a	S  1	response
100.519	n/a	S  3	stimulus
103.536	n/a	S 11	n/a
105.553	n/a	S 12	stimulus
106.626	n/a	S  1	response
108.786	n/a	S 12	stimulus
109.626	n/a	S  2	response
111.819	n/a	S 12	stimulus
112.706	n/a	S  1	response
115.669	n/a	S  4	stimulus
118.686	n/a	S 11	n/a
120.702	n/a	S 12	stimulus
121.722	n/a	S  1	response
123.952	n/a	S 12	stimulus
124.866	n/a	S  1	response
126.585	n/a	S 12	stimulus
127.73	n/a	S  2	response
130.135	n/a	S  4	stimulus
133.152	n/a	S 11	n/a
135.169	n/a	S 12	stimulus
137.066	n/a	S  1	response
137.802	n/a	S 12	stimulus
139.802	n/a	S  2	response
141.435	n/a	S 12	stimulus
142.562	n/a	S  2	response
144.985	n/a	S  3	stimulus
148.002	n/a	S 11	n/a
150.018	n/a	S 12	stimulus
151.114	n/a	S  2	response
153.668	n/a	S 12	stimulus
154.618	n/a	S  2	response
156.918	n/a	S 12	stimulus
157.682	n/a	S  1	response
160.968	n/a	S  3	stimulus
163.985	n/a	S 11	n/a
166.001	n/a	S 12	stimulus
166.962	n/a	S  1	response
169.634	n/a	S 12	stimulus
170.546	n/a	S  1	response
172.668	n/a	S 12	stimulus
173.73	n/a	S  1	response
177.218	n/a	S  3	stimulus
180.234	n/a	S 11	n/a
182.251	n/a	S 12	stimulus
183.177	n/a	S  1	response
184.884	n/a	S 12	stimulus
186.097	n/a	S  2	response
188.317	n/a	S 12	stimulus
189.057	n/a	S  2	response
192.367	n/a	S 10	n/a
200.4	n/a	S  4	stimulus
203.417	n/a	S 11	n/a
205.433	n/a	S 12	stimulus
206.881	n/a	S  1	response
209.067	n/a	S 12	stimulus
210.049	n/a	S  2	response
211.7	n/a	S 12	stimulus
212.793	n/a	S  1	response
216.05	n/a	S  4	stimulus
219.066	n/a	S 11	n/a
221.083	n/a	S 12	stimulus
222.497	n/a	S  1	response
224.716	n/a	S 12	stimulus
225.729	n/a	S  2	response
228.366	n/a	S 12	stimulus
229.257	n/a	S  2	response
232.116	n/a	S  4	stimulus
235.133	n/a	S 11	n/a
237.149	n/a	S 12	stimulus
237.921	n/a	S  2	response
239.983	n/a	S 12	stimulus
241.401	n/a	S  1	response
243.233	n/a	S 12	stimulus
244.161	n/a	S  2	response
246.899	n/a	S  3	stimulus
249.932	n/a	S 11	n/a
251.949	n/a	S 12	stimulus
252.681	n/a	S  2	response
254.982	n/a	S 12	stimulus
255.737	n/a	S  2	response
258.415	n/a	S 12	stimulus
259.56	n/a	S  1	response
262.065	n/a	S  3	stimulus
265.099	n/a	S 11	n/a
267.115	n/a	S 12	stimulus
268.08	n/a	S  1	response
270.149	n/a	S 12	stimulus
271.04	n/a	S  1	response
272.982	n/a	S 12	stimulus
274.304	n/a	S  2	response
276.148	n/a	S  4	stimulus
279.165	n/a	S 11	n/a
281.182	n/a	S 12	stimulus
282.072	n/a	S  2	response
283.815	n/a	S 12	stimulus
285.08	n/a	S  2	response
287.248	n/a	S 12	stimulus
288.224	n/a	S  2	response
290.898	n/a	S  3	stimulus
293.915	n/a	S 11	n/a
295.931	n/a	S 12	stimulus
296.864	n/a	S  2	response
298.764	n/a	S 12	stimulus
299.52	n/a	S  2	response
302.014	n/a	S 12	stimulus
302.632	n/a	S  1	response
305.764	n/a	S  4	stimulus
308.781	n/a	S 11	n/a
310.797	n/a	S 12	stimulus
312.032	n/a	S  1	response
314.231	n/a	S 12	stimulus
315.264	n/a	S  2	response
317.864	n/a	S 12	stimulus
318.712	n/a	S  1	response
322.514	n/a	S  3	stimulus
325.53	n/a	S 11	n/a
327.547	n/a	S 12	stimulus
328.576	n/a	S  2	response
330.98	n/a	S 12	stimulus
331.984	n/a	S  2	response
334.014	n/a	S 12	stimulus
334.784	n/a	S  1	response
337.963	n/a	S  3	stimulus
340.98	n/a	S 11	n/a
342.997	n/a	S 12	stimulus
343.919	n/a	S  2	response
346.23	n/a	S 12	stimulus
346.999	n/a	S  1	response
349.263	n/a	S 12	stimulus
349.767	n/a	S  2	response
353.33	n/a	S  3	stimulus
356.363	n/a	S 11	n/a
358.38	n/a	S 12	stimulus
359.479	n/a	S  1	response
361.413	n/a	S 12	stimulus
362.223	n/a	S  1	response
364.246	n/a	S 12	stimulus
365.039	n/a	S  2	response
368.696	n/a	S  3	stimulus
371.713	n/a	S 11	n/a
373.729	n/a	S 12	stimulus
374.727	n/a	S  2	response
377.362	n/a	S 12	stimulus
377.959	n/a	S  1	response
380.796	n/a	S 12	stimulus
381.687	n/a	S  2	response
385.046	n/a	S 10	n/a
393.062	n/a	S  4	stimulus
396.095	n/a	S 11	n/a
398.112	n/a	S 12	stimulus
398.935	n/a	S  2	response
400.745	n/a	S 12	stimulus
402.479	n/a	S  1	response
403.395	n/a	S 12	stimulus
404.871	n/a	S  1	response
407.045	n/a	S  3	stimulus
410.062	n/a	S 11	n/a
412.078	n/a	S 12	stimulus
413.071	n/a	S  1	response
415.528	n/a	S 12	stimulus
416.655	n/a	S  1	response
418.561	n/a	S 12	stimulus
419.271	n/a	S  2	response
423.011	n/a	S  3	stimulus
426.028	n/a	S 11	n/a
428.045	n/a	S 12	stimulus
429.118	n/a	S  1	response
431.278	n/a	S 12	stimulus
432.038	n/a	S  1	response
434.911	n/a	S 12	stimulus
435.678	n/a	S  1	response
438.461	n/a	S  3	stimulus
441.478	n/a	S 11	n/a
443.494	n/a	S 12	stimulus
444.542	n/a	S  2	response
447.127	n/a	S 12	stimulus
448.03	n/a	S  2	response
450.361	n/a	S 12	stimulus
451.894	n/a	S  1	response
454.111	n/a	S  4	stimulus
457.144	n/a	S 11	n/a
459.16	n/a	S 12	stimulus
460.182	n/a	S  1	response
461.81	n/a	S 12	stimulus
462.782	n/a	S  1	response
465.06	n/a	S 12	stimulus
466.062	n/a	S  2	response
469.41	n/a	S  3	stimulus
472.427	n/a	S 11	n/a
474.443	n/a	S 12	stimulus
475.406	n/a	S  2	response
477.277	n/a	S 12	stimulus
477.998	n/a	S  2	response
479.91	n/a	S 12	stimulus
480.87	n/a	S  2	response
484.276	n/a	S  4	stimulus
487.293	n/a	S 11	n/a
489.31	n/a	S 12	stimulus
490.07	n/a	S  2	response
492.56	n/a	S 12	stimulus
493.622	n/a	S  1	response
495.393	n/a	S 12	stimulus
496.702	n/a	S  1	response
499.443	n/a	S  4	stimulus
502.459	n/a	S 11	n/a
504.476	n/a	S 12	stimulus
505.453	n/a	S  2	response
507.509	n/a	S 12	stimulus
508.389	n/a	S  1	response
510.742	n/a	S 12	stimulus
511.285	n/a	S  2	response
514.692	n/a	S  4	stimulus
517.726	n/a	S 11	n/a
519.742	n/a	S 12	stimulus
521.661	n/a	S  1	response
522.375	n/a	S 12	stimulus
523.453	n/a	S  1	response
526.009	n/a	S 12	stimulus
527.165	n/a	S  1	response
529.859	n/a	S  4	stimulus
532.875	n/a	S 11	n/a
534.892	n/a	S 12	stimulus
535.797	n/a	S  2	response
537.725	n/a	S 12	stimulus
538.989	n/a	S  1	response
541.158	n/a	S 12	stimulus
542.605	n/a	S  2	response
544.808	n/a	S  3	stimulus
547.825	n/a	S 11	n/a
549.841	n/a	S 12	stimulus
550.893	n/a	S  2	response
552.875	n/a	S 12	stimulus
553.837	n/a	S  1	response
555.508	n/a	S 12	stimulus
556.373	n/a	S  1	response
558.858	n/a	S  3	stimulus
561.874	n/a	S 11	n/a
563.891	n/a	S 12	stimulus
564.885	n/a	S  2	response
