onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0089	1.0175	S  4	stimulus
1.9383	n/a	S  1	response
2.0439	1.0175	S  4	stimulus
3.6108	n/a	S  1	response
4.4792	1.0175	S  4	stimulus
5.5245	n/a	S  1	response
7.9153	1.0175	S  5	stimulus
9.0144	n/a	S  3	response
10.1171	1.0175	S  5	stimulus
10.9318	n/a	S  2	response
12.1855	1.0175	S  5	stimulus
12.7243	n/a	S  1	response
15.2213	1.0175	S  5	stimulus
16.6267	n/a	S  3	response
18.2571	1.0175	S  4	stimulus
19.6478	n/a	S  3	response
22.6774	1.0175	S  4	stimulus
23.8802	n/a	S  1	response
25.4129	1.0175	S  4	stimulus
26.8651	n/a	S  3	response
28.1985	1.0175	S  5	stimulus
29.2401	n/a	S  2	response
30.5004	1.0175	S  5	stimulus
31.2775	n/a	S  1	response
32.6188	1.0175	S  4	stimulus
33.7238	n/a	S  1	response
35.4211	1.0175	S  4	stimulus
36.7299	n/a	S  2	response
37.5062	1.0175	S  4	stimulus
39.2111	n/a	S  3	response
39.6412	1.0175	S  4	stimulus
40.9373	n/a	S  3	response
41.7763	1.0175	S  5	stimulus
42.8035	n/a	S  1	response
43.8447	1.0175	S  4	stimulus
44.7872	n/a	S  1	response
46.0798	1.0175	S  4	stimulus
47.4834	n/a	S  3	response
53.0522	1.0175	S  5	stimulus
54.1845	n/a	S  2	response
55.8712	1.0175	S  5	stimulus
56.8919	n/a	S  1	response
58.123	1.0175	S  5	stimulus
59.2918	n/a	S  2	response
60.4582	1.0175	S  5	stimulus
61.4005	n/a	S  2	response
63.1437	1.0175	S  4	stimulus
64.4467	n/a	S  3	response
65.2955	1.0175	S  5	stimulus
66.6592	n/a	S  3	response
67.4139	1.0175	S  5	stimulus
68.3516	n/a	S  2	response
69.599	1.0175	S  5	stimulus
70.1841	n/a	S  2	response
72.8517	1.0175	S  5	stimulus
73.529	n/a	S  1	response
77.3887	1.0175	S  4	stimulus
78.3938	n/a	S  1	response
79.8741	1.0175	S  4	stimulus
80.5901	n/a	S  1	response
82.1593	1.0175	S  4	stimulus
83.4575	n/a	S  2	response
84.3778	1.0175	S  4	stimulus
85.6799	n/a	S  1	response
86.5796	1.0175	S  5	stimulus
87.5586	n/a	S  3	response
88.8147	1.0175	S  4	stimulus
90.2636	n/a	S  2	response
90.8664	1.0174	S  4	stimulus
92.251	n/a	S  1	response
93.5853	1.0175	S  4	stimulus
94.6472	n/a	S  2	response
96.3876	1.0175	S  4	stimulus
97.3159	n/a	S  1	response
98.4393	1.0175	S  5	stimulus
99.7233	n/a	S  3	response
101.0914	1.0175	S  5	stimulus
101.9183	n/a	S  1	response
103.3433	1.0175	S  5	stimulus
104.4107	n/a	S  3	response
105.5284	1.0175	S  5	stimulus
106.3581	n/a	S  1	response
107.9637	n/a	S 10	stimulus
117.9718	1.0175	S  4	stimulus
120.5353	n/a	S  2	response
123.4263	1.0175	S  4	stimulus
124.8114	n/a	S  3	response
125.6114	1.0175	S  4	stimulus
126.9364	n/a	S  3	response
127.9634	1.0175	S  4	stimulus
129.0676	n/a	S  2	response
130.0818	1.0175	S  5	stimulus
131.2963	n/a	S  3	response
132.5171	1.0175	S  4	stimulus
133.4762	n/a	S  1	response
135.2526	1.0175	S  4	stimulus
136.2211	n/a	S  2	response
138.3385	1.0175	S  4	stimulus
139.3036	n/a	S  1	response
144.9439	1.0175	S  5	stimulus
145.7421	n/a	S  1	response
147.1457	1.0175	S  5	stimulus
149.1974	1.0175	S  5	stimulus
149.502	n/a	S  2	response
151.4826	1.0175	S  5	stimulus
152.7007	n/a	S  3	response
154.7853	1.0175	S  4	stimulus
155.7244	n/a	S  2	response
157.0204	1.0175	S  4	stimulus
158.4668	n/a	S  2	response
159.1555	1.0175	S  4	stimulus
160.5443	n/a	S  3	response
163.7593	1.0175	S  5	stimulus
164.5054	n/a	S  1	response
165.8943	1.0175	S  4	stimulus
166.8504	n/a	S  2	response
170.9818	1.0175	S  5	stimulus
172.1412	n/a	S  2	response
173.3337	1.0175	S  5	stimulus
174.5852	n/a	S  3	response
175.669	1.0175	S  5	stimulus
176.5364	n/a	S  1	response
178.0042	1.0175	S  5	stimulus
178.8501	n/a	S  2	response
180.8232	1.0175	S  4	stimulus
181.855	n/a	S  2	response
183.0083	1.0175	S  4	stimulus
184.4387	n/a	S  3	response
185.1768	1.0175	S  4	stimulus
186.3299	n/a	S  2	response
187.4786	1.0175	S  4	stimulus
188.5948	n/a	S  2	response
195.5185	1.0175	S  5	stimulus
196.7046	n/a	S  3	response
198.1373	1.0175	S  5	stimulus
199.1058	n/a	S  2	response
200.3225	1.0175	S  5	stimulus
201.3357	n/a	S  3	response
202.6243	1.0175	S  5	stimulus
203.3919	n/a	S  1	response
205.1097	1.0175	S  4	stimulus
206.0456	n/a	S  1	response
207.6618	1.0175	S  5	stimulus
208.3493	n/a	S  1	response
211.1647	1.0175	S  5	stimulus
211.8367	n/a	S  2	response
214.2005	1.0175	S  4	stimulus
215.5154	n/a	S  1	response
219.3713	1.0175	S  5	stimulus
220.5878	n/a	S  3	response
221.4564	1.0175	S  5	stimulus
222.4564	n/a	S  2	response
224.3921	1.0175	S  5	stimulus
225.3839	n/a	S  3	response
226.8775	1.0175	S  4	stimulus
228.1325	n/a	S  2	response
232.2986	1.0175	S  5	stimulus
232.9124	n/a	S  1	response
234.6338	1.0175	S  5	stimulus
235.4403	n/a	S  2	response
236.8523	1.0175	S  5	stimulus
237.6236	n/a	S  3	response
239.7547	1.0175	S  4	stimulus
240.6085	n/a	S  1	response
242.0399	1.0175	S  4	stimulus
243.4059	n/a	S  3	response
245.3426	n/a	S 10	stimulus
