onset	duration	event_type	trial_type
14.177	n/a	S  3	stimulus
17.193	n/a	S 11	n/a
19.21	n/a	S 12	stimulus
20.298	n/a	S  1	response
21.843	n/a	S 12	stimulus
22.562	n/a	S  1	response
24.493	n/a	S 12	stimulus
25.194	n/a	S  2	response
28.06	n/a	S  4	stimulus
31.076	n/a	S 11	n/a
33.093	n/a	S 12	stimulus
34.09	n/a	S  1	response
36.526	n/a	S 12	stimulus
37.17	n/a	S  2	response
39.36	n/a	S 12	stimulus
40.234	n/a	S  2	response
42.909	n/a	S  3	stimulus
45.926	n/a	S 11	n/a
47.943	n/a	S 12	stimulus
48.858	n/a	S  1	response
51.576	n/a	S 12	stimulus
52.473	n/a	S  1	response
55.209	n/a	S 12	stimulus
56.089	n/a	S  1	response
59.359	n/a	S  3	stimulus
62.392	n/a	S 11	n/a
64.409	n/a	S 12	stimulus
65.521	n/a	S  2	response
68.059	n/a	S 12	stimulus
69.193	n/a	S  2	response
71.692	n/a	S 12	stimulus
72.673	n/a	S  2	response
75.742	n/a	S  4	stimulus
78.775	n/a	S 11	n/a
80.792	n/a	S 12	stimulus
81.817	n/a	S  1	response
83.825	n/a	S 12	stimulus
84.601	n/a	S  2	response
87.058	n/a	S 12	stimulus
87.945	n/a	S  1	response
90.208	n/a	S  3	stimulus
93.225	n/a	S 11	n/a
95.241	n/a	S 12	stimulus
96.745	n/a	S  2	response
98.675	n/a	S 12	stimulus
99.553	n/a	S  1	response
101.508	n/a	S 12	stimulus
102.473	n/a	S  2	response
105.858	n/a	S  3	stimulus
108.874	n/a	S 11	n/a
110.891	n/a	S 12	stimulus
111.833	n/a	S  1	response
113.524	n/a	S 12	stimulus
114.297	n/a	S  2	response
116.158	n/a	S 12	stimulus
117.017	n/a	S  1	response
120.008	n/a	S  3	stimulus
123.041	n/a	S 11	n/a
125.057	n/a	S 12	stimulus
125.977	n/a	S  2	response
128.291	n/a	S 12	stimulus
129.193	n/a	S  2	response
131.124	n/a	S 12	stimulus
131.841	n/a	S  1	response
135.691	n/a	S  3	stimulus
138.707	n/a	S 11	n/a
140.724	n/a	S 12	stimulus
141.504	n/a	S  2	response
144.357	n/a	S 12	stimulus
145.28	n/a	S  1	response
147.39	n/a	S 12	stimulus
148.376	n/a	S  2	response
151.84	n/a	S  4	stimulus
154.873	n/a	S 11	n/a
156.89	n/a	S 12	stimulus
158.16	n/a	S  1	response
160.123	n/a	S 12	stimulus
160.704	n/a	S  2	response
163.573	n/a	S 12	stimulus
164.304	n/a	S  2	response
166.823	n/a	S  3	stimulus
169.84	n/a	S 11	n/a
171.856	n/a	S 12	stimulus
172.744	n/a	S  1	response
174.49	n/a	S 12	stimulus
176.016	n/a	S  1	response
177.923	n/a	S 12	stimulus
178.952	n/a	S  2	response
182.373	n/a	S  3	stimulus
185.389	n/a	S 11	n/a
187.406	n/a	S 12	stimulus
188.336	n/a	S  2	response
190.639	n/a	S 12	stimulus
191.272	n/a	S  2	response
193.689	n/a	S 12	stimulus
195.184	n/a	S  2	response
197.339	n/a	S 10	n/a
205.355	n/a	S  3	stimulus
208.372	n/a	S 11	n/a
210.389	n/a	S 12	stimulus
211.208	n/a	S  2	response
213.022	n/a	S 12	stimulus
213.896	n/a	S  2	response
215.855	n/a	S 12	stimulus
216.608	n/a	S  1	response
220.305	n/a	S  4	stimulus
223.322	n/a	S 11	n/a
225.338	n/a	S 12	stimulus
226.575	n/a	S  1	response
228.572	n/a	S 12	stimulus
229.479	n/a	S  1	response
231.805	n/a	S 12	stimulus
232.599	n/a	S  2	response
235.555	n/a	S  3	stimulus
238.588	n/a	S 11	n/a
240.605	n/a	S 12	stimulus
241.487	n/a	S  1	response
243.455	n/a	S 12	stimulus
244.503	n/a	S  1	response
246.088	n/a	S 12	stimulus
246.927	n/a	S  2	response
249.738	n/a	S  3	stimulus
252.754	n/a	S 11	n/a
254.771	n/a	S 12	stimulus
255.607	n/a	S  2	response
257.604	n/a	S 12	stimulus
258.559	n/a	S  1	response
260.437	n/a	S 12	stimulus
261.399	n/a	S  2	response
264.887	n/a	S  4	stimulus
267.904	n/a	S 11	n/a
269.921	n/a	S 12	stimulus
270.855	n/a	S  2	response
272.754	n/a	S 12	stimulus
273.671	n/a	S  1	response
275.787	n/a	S 12	stimulus
276.599	n/a	S  2	response
278.937	n/a	S  4	stimulus
281.954	n/a	S 11	n/a
283.97	n/a	S 12	stimulus
285.247	n/a	S  1	response
287.003	n/a	S 12	stimulus
287.783	n/a	S  1	response
289.637	n/a	S 12	stimulus
290.567	n/a	S  1	response
293.503	n/a	S  4	stimulus
296.52	n/a	S 11	n/a
298.537	n/a	S 12	stimulus
299.375	n/a	S  2	response
301.17	n/a	S 12	stimulus
302.159	n/a	S  2	response
303.803	n/a	S 12	stimulus
304.59	n/a	S  2	response
308.053	n/a	S  4	stimulus
311.086	n/a	S 11	n/a
313.103	n/a	S 12	stimulus
314.126	n/a	S  1	response
316.536	n/a	S 12	stimulus
317.254	n/a	S  2	response
319.369	n/a	S 12	stimulus
320.094	n/a	S  2	response
323.336	n/a	S  4	stimulus
326.369	n/a	S 11	n/a
328.386	n/a	S 12	stimulus
329.118	n/a	S  2	response
332.019	n/a	S 12	stimulus
333.446	n/a	S  1	response
335.652	n/a	S 12	stimulus
337.07	n/a	S  1	response
339.402	n/a	S  4	stimulus
342.419	n/a	S 11	n/a
344.435	n/a	S 12	stimulus
345.454	n/a	S  1	response
347.285	n/a	S 12	stimulus
348.038	n/a	S  2	response
350.319	n/a	S 12	stimulus
351.422	n/a	S  1	response
353.885	n/a	S  3	stimulus
356.918	n/a	S 11	n/a
358.935	n/a	S 12	stimulus
359.83	n/a	S  2	response
361.768	n/a	S 12	stimulus
362.774	n/a	S  1	response
365.402	n/a	S 12	stimulus
366.31	n/a	S  1	response
369.351	n/a	S  4	stimulus
372.368	n/a	S 11	n/a
374.385	n/a	S 12	stimulus
375.278	n/a	S  2	response
377.018	n/a	S 12	stimulus
377.782	n/a	S  1	response
380.251	n/a	S 12	stimulus
380.998	n/a	S  2	response
384.201	n/a	S 10	n/a
392.218	n/a	S  4	stimulus
395.234	n/a	S 11	n/a
397.251	n/a	S 12	stimulus
398.085	n/a	S  2	response
399.901	n/a	S 12	stimulus
400.701	n/a	S  2	response
402.534	n/a	S 12	stimulus
403.677	n/a	S  2	response
406.584	n/a	S  4	stimulus
409.6	n/a	S 11	n/a
411.617	n/a	S 12	stimulus
412.765	n/a	S  2	response
415.25	n/a	S 12	stimulus
416.085	n/a	S  1	response
418.1	n/a	S 12	stimulus
418.917	n/a	S  2	response
421.75	n/a	S  4	stimulus
424.767	n/a	S 11	n/a
426.783	n/a	S 12	stimulus
427.853	n/a	S  1	response
429.817	n/a	S 12	stimulus
430.885	n/a	S  1	response
433.05	n/a	S 12	stimulus
433.853	n/a	S  1	response
436.9	n/a	S  4	stimulus
439.916	n/a	S 11	n/a
441.933	n/a	S 12	stimulus
442.797	n/a	S  2	response
444.783	n/a	S 12	stimulus
445.437	n/a	S  2	response
447.833	n/a	S 12	stimulus
448.501	n/a	S  2	response
451.283	n/a	S  3	stimulus
454.299	n/a	S 11	n/a
456.316	n/a	S 12	stimulus
457.189	n/a	S  1	response
459.549	n/a	S 12	stimulus
460.797	n/a	S  1	response
462.599	n/a	S 12	stimulus
463.421	n/a	S  1	response
465.766	n/a	S  3	stimulus
468.782	n/a	S 11	n/a
470.799	n/a	S 12	stimulus
471.885	n/a	S  2	response
473.432	n/a	S 12	stimulus
474.26	n/a	S  1	response
476.466	n/a	S 12	stimulus
477.204	n/a	S  2	response
480.515	n/a	S  4	stimulus
483.532	n/a	S 11	n/a
485.549	n/a	S 12	stimulus
486.676	n/a	S  1	response
488.582	n/a	S 12	stimulus
489.452	n/a	S  2	response
491.815	n/a	S 12	stimulus
493.028	n/a	S  2	response
495.765	n/a	S  3	stimulus
498.782	n/a	S 11	n/a
500.798	n/a	S 12	stimulus
502.084	n/a	S  2	response
504.248	n/a	S 12	stimulus
505.22	n/a	S  2	response
507.281	n/a	S 12	stimulus
508.124	n/a	S  1	response
510.731	n/a	S  4	stimulus
513.748	n/a	S 11	n/a
515.765	n/a	S 12	stimulus
516.7	n/a	S  1	response
519.198	n/a	S 12	stimulus
520.068	n/a	S  2	response
522.831	n/a	S 12	stimulus
523.652	n/a	S  1	response
526.181	n/a	S  4	stimulus
529.214	n/a	S 11	n/a
531.231	n/a	S 12	stimulus
532.108	n/a	S  1	response
534.881	n/a	S 12	stimulus
535.588	n/a	S  2	response
538.131	n/a	S 12	stimulus
539.18	n/a	S  2	response
541.981	n/a	S  4	stimulus
544.997	n/a	S 11	n/a
547.014	n/a	S 12	stimulus
547.972	n/a	S  1	response
550.247	n/a	S 12	stimulus
550.804	n/a	S  2	response
553.88	n/a	S 12	stimulus
554.852	n/a	S  2	response
557.73	n/a	S  3	stimulus
560.763	n/a	S 11	n/a
562.78	n/a	S 12	stimulus
563.859	n/a	S  1	response
566.213	n/a	S 12	stimulus
567.059	n/a	S  1	response
569.447	n/a	S 12	stimulus
570.091	n/a	S  2	response
573.996	n/a	S 10	n/a
582.013	n/a	S  3	stimulus
585.03	n/a	S 11	n/a
587.046	n/a	S 12	stimulus
588.507	n/a	S  1	response
590.679	n/a	S 12	stimulus
591.803	n/a	S  1	response
593.513	n/a	S 12	stimulus
594.403	n/a	S  2	response
597.963	n/a	S  4	stimulus
600.979	n/a	S 11	n/a
602.996	n/a	S 12	stimulus
604.411	n/a	S  1	response
606.029	n/a	S 12	stimulus
606.643	n/a	S  2	response
608.662	n/a	S 12	stimulus
609.715	n/a	S  2	response
612.612	n/a	S  3	stimulus
615.645	n/a	S 11	n/a
617.662	n/a	S 12	stimulus
618.427	n/a	S  1	response
620.912	n/a	S 12	stimulus
621.723	n/a	S  1	response
624.545	n/a	S 12	stimulus
625.219	n/a	S  2	response
628.495	n/a	S  4	stimulus
631.512	n/a	S 11	n/a
633.528	n/a	S 12	stimulus
634.483	n/a	S  2	response
636.362	n/a	S 12	stimulus
637.139	n/a	S  1	response
639.795	n/a	S 12	stimulus
640.691	n/a	S  1	response
644.145	n/a	S  4	stimulus
647.161	n/a	S 11	n/a
649.178	n/a	S 12	stimulus
650.074	n/a	S  2	response
652.011	n/a	S 12	stimulus
652.746	n/a	S  2	response
654.644	n/a	S 12	stimulus
655.554	n/a	S  1	response
659.111	n/a	S  3	stimulus
662.128	n/a	S 11	n/a
664.144	n/a	S 12	stimulus
665.114	n/a	S  1	response
666.978	n/a	S 12	stimulus
667.842	n/a	S  1	response
670.211	n/a	S 12	stimulus
670.866	n/a	S  2	response
674.161	n/a	S  3	stimulus
677.194	n/a	S 11	n/a
679.211	n/a	S 12	stimulus
680.106	n/a	S  1	response
682.244	n/a	S 12	stimulus
683.074	n/a	S  1	response
685.677	n/a	S 12	stimulus
686.61	n/a	S  1	response
689.944	n/a	S  4	stimulus
692.96	n/a	S 11	n/a
694.977	n/a	S 12	stimulus
695.866	n/a	S  1	response
698.027	n/a	S 12	stimulus
699.282	n/a	S  1	response
701.66	n/a	S 12	stimulus
702.722	n/a	S  1	response
705.227	n/a	S  3	stimulus
708.243	n/a	S 11	n/a
710.26	n/a	S 12	stimulus
710.97	n/a	S  2	response
713.893	n/a	S 12	stimulus
714.682	n/a	S  2	response
717.126	n/a	S 12	stimulus
717.906	n/a	S  1	response
720.293	n/a	S  3	stimulus
723.309	n/a	S 11	n/a
725.326	n/a	S 12	stimulus
726.21	n/a	S  1	response
728.359	n/a	S 12	stimulus
729.465	n/a	S  1	response
732.009	n/a	S 12	stimulus
732.833	n/a	S  2	response
736.359	n/a	S  3	stimulus
739.392	n/a	S 11	n/a
741.409	n/a	S 12	stimulus
742.265	n/a	S  1	response
744.842	n/a	S 12	stimulus
745.577	n/a	S  1	response
748.476	n/a	S 12	stimulus
749.345	n/a	S  2	response
752.725	n/a	S  4	stimulus
755.759	n/a	S 11	n/a
757.775	n/a	S 12	stimulus
758.753	n/a	S  2	response
761.209	n/a	S 12	stimulus
762.209	n/a	S  1	response
764.242	n/a	S 12	stimulus
765.137	n/a	S  2	response
768.492	n/a	S 10	n/a
