onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0157	3.0191	S  4	stimulus
3.0348	2.0183	S 11	stimulus
5.0531	1.8181	S 12	stimulus
6.264	n/a	S  2	response
8.6893	1.8181	S 12	stimulus
9.6075	n/a	S  1	response
12.1254	1.8181	S 12	stimulus
13.085	n/a	S  1	response
15.3781	3.0191	S  3	stimulus
18.3971	2.0183	S 11	stimulus
20.4154	1.8181	S 12	stimulus
21.6097	n/a	S  2	response
24.0517	1.8181	S 12	stimulus
24.867	n/a	S  1	response
27.4878	1.8181	S 12	stimulus
28.3531	n/a	S  1	response
30.8405	3.0191	S  3	stimulus
33.8596	2.0183	S 11	stimulus
35.8779	1.8181	S 12	stimulus
37.3753	n/a	S  2	response
38.7135	1.8181	S 12	stimulus
40.0152	n/a	S  1	response
41.7493	1.8181	S 12	stimulus
42.4989	n/a	S  1	response
46.0027	3.0191	S  3	stimulus
49.0218	2.0183	S 11	stimulus
51.0401	1.8181	S 12	stimulus
52.111	n/a	S  2	response
53.8757	1.8181	S 12	stimulus
54.7347	n/a	S  2	response
57.3118	1.8181	S 12	stimulus
58.0944	n/a	S  1	response
61.4651	3.0191	S  4	stimulus
64.4842	2.0183	S 11	stimulus
66.5025	1.8181	S 12	stimulus
67.3691	n/a	S  1	response
70.1388	1.8181	S 12	stimulus
71.1927	n/a	S  2	response
73.1745	1.8181	S 12	stimulus
74.5589	n/a	S  1	response
77.0277	3.0191	S  4	stimulus
80.0467	2.0183	S 11	stimulus
82.065	1.8181	S 12	stimulus
82.9923	n/a	S  1	response
84.7005	1.8181	S 12	stimulus
86.2497	n/a	S  1	response
87.5361	1.8181	S 12	stimulus
89.4545	n/a	S  1	response
91.8896	3.0191	S  4	stimulus
94.9087	2.0183	S 11	stimulus
96.927	1.8181	S 12	stimulus
98.4718	n/a	S  2	response
99.5624	1.8181	S 12	stimulus
100.3867	n/a	S  1	response
102.7984	1.8181	S 12	stimulus
103.6866	n/a	S  1	response
106.6515	3.0191	S  3	stimulus
109.6706	2.0183	S 11	stimulus
111.6889	1.8181	S 12	stimulus
112.8386	n/a	S  2	response
114.5245	1.8181	S 12	stimulus
115.1748	n/a	S  1	response
117.9606	1.8181	S 12	stimulus
118.8822	n/a	S  2	response
121.9138	3.0191	S  3	stimulus
124.9329	2.0183	S 11	stimulus
126.9511	1.8181	S 12	stimulus
127.9194	n/a	S  2	response
130.5874	1.8181	S 12	stimulus
132.0205	n/a	S  1	response
133.2229	1.8181	S 12	stimulus
134.0966	n/a	S  1	response
137.276	3.0026	S  4	stimulus
140.2785	2.0183	S 11	stimulus
142.2968	1.8181	S 12	stimulus
