onset	duration	event_type	trial_type
17.067	n/a	S  3	stimulus
20.083	n/a	S 11	n/a
22.1	n/a	S 12	stimulus
23.121	n/a	S  1	response
25.733	n/a	S 12	stimulus
26.505	n/a	S  2	response
28.966	n/a	S 12	stimulus
29.705	n/a	S  1	response
32.516	n/a	S  4	stimulus
35.533	n/a	S 11	n/a
37.549	n/a	S 12	stimulus
39.521	n/a	S  2	response
40.383	n/a	S 12	stimulus
41.385	n/a	S  2	response
43.816	n/a	S 12	stimulus
44.633	n/a	S  1	response
47.466	n/a	S  4	stimulus
50.482	n/a	S 11	n/a
52.499	n/a	S 12	stimulus
53.401	n/a	S  2	response
55.132	n/a	S 12	stimulus
56.105	n/a	S  2	response
58.182	n/a	S 12	stimulus
59.033	n/a	S  1	response
61.749	n/a	S  4	stimulus
64.782	n/a	S 11	n/a
66.799	n/a	S 12	stimulus
68.168	n/a	S  2	response
69.632	n/a	S 12	stimulus
71.016	n/a	S  2	response
73.265	n/a	S 12	stimulus
73.976	n/a	S  1	response
77.015	n/a	S  3	stimulus
80.048	n/a	S 11	n/a
82.065	n/a	S 12	stimulus
82.824	n/a	S  1	response
85.315	n/a	S 12	stimulus
86.256	n/a	S  1	response
88.748	n/a	S 12	stimulus
90.12	n/a	S  1	response
93.215	n/a	S  3	stimulus
96.248	n/a	S 11	n/a
98.265	n/a	S 12	stimulus
99.248	n/a	S  2	response
100.898	n/a	S 12	stimulus
101.816	n/a	S  2	response
103.748	n/a	S 12	stimulus
104.464	n/a	S  2	response
107.398	n/a	S  4	stimulus
110.431	n/a	S 11	n/a
112.448	n/a	S 12	stimulus
114.368	n/a	S  1	response
115.497	n/a	S 12	stimulus
116.544	n/a	S  1	response
118.947	n/a	S 12	stimulus
120.32	n/a	S  1	response
122.197	n/a	S  4	stimulus
125.231	n/a	S 11	n/a
127.247	n/a	S 12	stimulus
128.352	n/a	S  1	response
129.88	n/a	S 12	stimulus
130.936	n/a	S  1	response
132.914	n/a	S 12	stimulus
133.768	n/a	S  2	response
137.264	n/a	S  3	stimulus
140.28	n/a	S 11	n/a
142.297	n/a	S 12	stimulus
143.016	n/a	S  1	response
145.147	n/a	S 12	stimulus
145.775	n/a	S  1	response
148.78	n/a	S 12	stimulus
149.487	n/a	S  1	response
152.647	n/a	S  3	stimulus
155.663	n/a	S 11	n/a
157.68	n/a	S 12	stimulus
158.559	n/a	S  2	response
161.113	n/a	S 12	stimulus
161.711	n/a	S  2	response
163.963	n/a	S 12	stimulus
164.695	n/a	S  2	response
168.213	n/a	S  3	stimulus
171.229	n/a	S 11	n/a
173.246	n/a	S 12	stimulus
174.111	n/a	S  1	response
176.279	n/a	S 12	stimulus
177.159	n/a	S  1	response
179.313	n/a	S 12	stimulus
180.079	n/a	S  1	response
182.962	n/a	S  3	stimulus
185.979	n/a	S 11	n/a
187.996	n/a	S 12	stimulus
189.159	n/a	S  2	response
190.646	n/a	S 12	stimulus
191.431	n/a	S  2	response
194.096	n/a	S 12	stimulus
194.871	n/a	S  2	response
197.845	n/a	S 10	n/a
205.862	n/a	S  3	stimulus
208.878	n/a	S 11	n/a
210.895	n/a	S 12	stimulus
211.959	n/a	S  2	response
213.928	n/a	S 12	stimulus
215.279	n/a	S  1	response
217.162	n/a	S 12	stimulus
217.943	n/a	S  2	response
221.212	n/a	S  3	stimulus
224.245	n/a	S 11	n/a
226.261	n/a	S 12	stimulus
227.006	n/a	S  1	response
229.095	n/a	S 12	stimulus
229.846	n/a	S  1	response
232.128	n/a	S 12	stimulus
232.846	n/a	S  2	response
236.478	n/a	S  3	stimulus
239.494	n/a	S 11	n/a
241.511	n/a	S 12	stimulus
242.79	n/a	S  1	response
245.144	n/a	S 12	stimulus
245.95	n/a	S  1	response
248.778	n/a	S 12	stimulus
249.542	n/a	S  1	response
253.044	n/a	S  4	stimulus
256.061	n/a	S 11	n/a
258.077	n/a	S 12	stimulus
259.294	n/a	S  2	response
261.527	n/a	S 12	stimulus
262.742	n/a	S  2	response
264.36	n/a	S 12	stimulus
265.374	n/a	S  2	response
268.51	n/a	S  3	stimulus
271.544	n/a	S 11	n/a
273.56	n/a	S 12	stimulus
274.518	n/a	S  1	response
277.01	n/a	S 12	stimulus
277.854	n/a	S  1	response
280.643	n/a	S 12	stimulus
281.614	n/a	S  2	response
283.91	n/a	S  4	stimulus
286.927	n/a	S 11	n/a
288.943	n/a	S 12	stimulus
289.926	n/a	S  2	response
291.776	n/a	S 12	stimulus
292.99	n/a	S  1	response
294.826	n/a	S 12	stimulus
295.662	n/a	S  2	response
299.093	n/a	S  4	stimulus
302.11	n/a	S 11	n/a
304.126	n/a	S 12	stimulus
305.774	n/a	S  1	response
306.759	n/a	S 12	stimulus
307.614	n/a	S  2	response
309.993	n/a	S 12	stimulus
311.693	n/a	S  1	response
313.143	n/a	S  4	stimulus
316.159	n/a	S 11	n/a
318.176	n/a	S 12	stimulus
319.221	n/a	S  2	response
321.809	n/a	S 12	stimulus
323.413	n/a	S  1	response
324.859	n/a	S 12	stimulus
326.077	n/a	S  2	response
329.309	n/a	S  4	stimulus
332.325	n/a	S 11	n/a
334.342	n/a	S 12	stimulus
335.645	n/a	S  1	response
337.575	n/a	S 12	stimulus
338.533	n/a	S  2	response
340.225	n/a	S 12	stimulus
341.309	n/a	S  2	response
343.875	n/a	S  4	stimulus
346.892	n/a	S 11	n/a
348.908	n/a	S 12	stimulus
350.389	n/a	S  1	response
352.558	n/a	S 12	stimulus
355.392	n/a	S 12	stimulus
359.541	n/a	S  3	stimulus
362.558	n/a	S 11	n/a
364.575	n/a	S 12	stimulus
365.445	n/a	S  2	response
368.208	n/a	S 12	stimulus
369.141	n/a	S  2	response
371.841	n/a	S 12	stimulus
372.685	n/a	S  1	response
375.791	n/a	S  4	stimulus
378.808	n/a	S 11	n/a
380.824	n/a	S 12	stimulus
381.693	n/a	S  1	response
384.058	n/a	S 12	stimulus
