onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.3318	3.0191	S  3	stimulus
3.3509	2.0183	S 11	stimulus
5.3692	1.8181	S 12	stimulus
6.5371	n/a	S  1	response
8.405	1.8181	S 12	stimulus
9.7608	n/a	S  1	response
11.0405	1.8181	S 12	stimulus
11.8983	n/a	S  2	response
15.294	3.0191	S  4	stimulus
18.3131	2.0183	S 11	stimulus
20.3314	1.8181	S 12	stimulus
21.703	n/a	S  1	response
23.7675	1.8181	S 12	stimulus
24.6216	n/a	S  1	response
27.0035	1.8181	S 12	stimulus
29.0178	n/a	S  1	response
31.0568	3.0191	S  4	stimulus
34.0759	2.0183	S 11	stimulus
36.0942	1.8181	S 12	stimulus
37.3975	n/a	S  2	response
38.7297	1.8182	S 12	stimulus
39.4762	n/a	S  1	response
41.9657	1.8181	S 12	stimulus
43.9861	n/a	S  2	response
45.9189	3.0191	S  3	stimulus
48.938	2.0183	S 11	stimulus
50.9563	1.8182	S 12	stimulus
52.4183	n/a	S  2	response
54.1923	1.8181	S 12	stimulus
54.9683	n/a	S  1	response
57.2281	1.8181	S 12	stimulus
58.2731	n/a	S  2	response
61.2814	3.0191	S  4	stimulus
64.3005	2.0183	S 11	stimulus
66.3188	1.8181	S 12	stimulus
67.4203	n/a	S  2	response
69.755	1.8181	S 12	stimulus
70.804	n/a	S  1	response
72.5906	1.8181	S 12	stimulus
73.5015	n/a	S  1	response
76.1435	3.0191	S  3	stimulus
79.1626	2.0183	S 11	stimulus
81.1809	1.8181	S 12	stimulus
82.1712	n/a	S  1	response
83.8164	1.8182	S 12	stimulus
85.0587	n/a	S  2	response
86.652	1.8181	S 12	stimulus
88.3822	n/a	S  2	response
91.0056	3.0191	S  4	stimulus
94.0247	2.0183	S 11	stimulus
96.043	1.8181	S 12	stimulus
97.0296	n/a	S  2	response
98.8786	1.8182	S 12	stimulus
99.9656	n/a	S  1	response
102.1146	1.8182	S 12	stimulus
103.3993	n/a	S  2	response
105.4674	3.0191	S  3	stimulus
108.4865	2.0183	S 11	stimulus
110.5048	1.8181	S 12	stimulus
111.4941	n/a	S  1	response
113.3404	1.8181	S 12	stimulus
114.1715	n/a	S  2	response
115.9759	1.8182	S 12	stimulus
116.809	n/a	S  1	response
120.2294	3.0191	S  3	stimulus
123.2485	2.0183	S 11	stimulus
125.2668	1.8181	S 12	stimulus
126.3162	n/a	S  1	response
128.9031	1.8181	S 12	stimulus
129.8174	n/a	S  1	response
131.5386	1.8181	S 12	stimulus
132.2736	n/a	S  2	response
135.3917	3.0191	S  3	stimulus
138.4108	2.0183	S 11	stimulus
140.4291	1.8181	S 12	stimulus
141.6608	n/a	S  2	response
144.0654	1.8181	S 12	stimulus
144.8819	n/a	S  1	response
147.1012	1.8181	S 12	stimulus
148.6644	n/a	S  2	response
150.8543	3.0191	S  3	stimulus
153.8734	2.0183	S 11	stimulus
155.8917	1.8181	S 12	stimulus
156.7954	n/a	S  1	response
158.7274	1.8182	S 12	stimulus
159.5952	n/a	S  2	response
162.1635	1.8182	S 12	stimulus
162.8764	n/a	S  1	response
166.6171	3.0191	S  4	stimulus
169.6362	2.0183	S 11	stimulus
171.6545	1.8181	S 12	stimulus
172.7874	n/a	S  1	response
175.2908	1.8181	S 12	stimulus
177.626	n/a	S  1	response
178.727	1.8182	S 12	stimulus
179.5534	n/a	S  2	response
182.48	10.0081	S 10	stimulus
192.4882	3.0191	S  4	stimulus
195.5073	2.0183	S 11	stimulus
197.5256	1.8181	S 12	stimulus
198.6804	n/a	S  2	response
201.1619	1.8181	S 12	stimulus
202.1553	n/a	S  1	response
