onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0062	1.0175	S  5	stimulus
1.3167	n/a	S  2	response
2.7584	1.0175	S  5	stimulus
3.6466	n/a	S  3	response
5.1604	1.0175	S  5	stimulus
5.7279	n/a	S  1	response
8.3129	1.0175	S  4	stimulus
9.7965	n/a	S  1	response
10.3646	1.0175	S  4	stimulus
11.5064	n/a	S  2	response
12.4163	1.0175	S  4	stimulus
13.1951	n/a	S  2	response
14.6848	1.0175	S  4	stimulus
15.8126	n/a	S  1	response
16.7365	1.0175	S  5	stimulus
17.4263	n/a	S  1	response
22.7747	1.0175	S  5	stimulus
23.7173	n/a	S  3	response
25.1433	1.0175	S  5	stimulus
25.8735	n/a	S  2	response
27.5286	1.0175	S  4	stimulus
28.9196	n/a	S  3	response
30.4309	1.0175	S  4	stimulus
31.5683	n/a	S  2	response
33.1165	1.0175	S  5	stimulus
33.8183	n/a	S  1	response
35.3182	1.0175	S  5	stimulus
36.1657	n/a	S  2	response
38.4875	1.0175	S  5	stimulus
39.3631	n/a	S  1	response
40.5392	1.0175	S  5	stimulus
41.6706	n/a	S  3	response
43.0579	1.0175	S  4	stimulus
44.108	n/a	S  2	response
46.127	1.0175	S  5	stimulus
46.8817	n/a	S  1	response
48.2121	1.0175	S  5	stimulus
49.0478	n/a	S  2	response
53.3829	1.0175	S  4	stimulus
54.5477	n/a	S  1	response
55.6348	1.0175	S  4	stimulus
56.3764	n/a	S  1	response
57.8866	1.0175	S  4	stimulus
58.9551	n/a	S  3	response
59.9883	1.0175	S  4	stimulus
60.835	n/a	S  3	response
62.2068	1.0175	S  5	stimulus
62.9612	n/a	S  3	response
64.6421	1.0175	S  4	stimulus
65.7836	n/a	S  1	response
67.1275	1.0175	S  4	stimulus
68.1848	n/a	S  2	response
70.1633	1.0175	S  4	stimulus
71.1135	n/a	S  1	response
72.3651	1.0175	S  4	stimulus
73.3359	n/a	S  3	response
77.1023	1.0175	S  5	stimulus
77.827	n/a	S  3	response
79.621	1.0175	S  5	stimulus
80.4357	n/a	S  2	response
82.1564	1.0175	S  5	stimulus
82.8531	n/a	S  3	response
84.4249	1.0175	S  5	stimulus
84.9431	n/a	S  3	response
86.5433	1.0175	S  4	stimulus
87.5393	n/a	S  2	response
88.8618	1.0175	S  5	stimulus
89.5779	n/a	S  2	response
90.9135	1.0175	S  5	stimulus
91.5179	n/a	S  1	response
93.549	1.0175	S  5	stimulus
94.2841	n/a	S  2	response
95.9676	1.0175	S  5	stimulus
96.7527	n/a	S  2	response
98.3195	1.0175	S  4	stimulus
99.0189	n/a	S  2	response
100.4713	1.0173	S  4	stimulus
101.4763	n/a	S  1	response
103.457	1.0175	S  4	stimulus
104.5963	n/a	S  2	response
105.7589	1.0175	S  5	stimulus
106.53	n/a	S  3	response
108.4444	n/a	S 10	stimulus
118.4526	1.0175	S  4	stimulus
119.3709	n/a	S  1	response
123.2398	1.0175	S  5	stimulus
124.0257	n/a	S  2	response
125.525	1.0175	S  5	stimulus
126.1507	n/a	S  3	response
127.9937	1.0175	S  5	stimulus
128.6218	n/a	S  1	response
130.1955	1.0175	S  4	stimulus
131.0056	n/a	S  3	response
132.514	1.0175	S  5	stimulus
133.1079	n/a	S  1	response
134.5824	1.0175	S  5	stimulus
135.2179	n/a	S  2	response
136.6174	1.0175	S  5	stimulus
137.1916	n/a	S  3	response
144.6072	1.0175	S  4	stimulus
145.5076	n/a	S  3	response
146.809	1.0175	S  4	stimulus
147.975	n/a	S  1	response
149.0942	1.0175	S  4	stimulus
150.2125	n/a	S  3	response
151.5795	1.0175	S  4	stimulus
152.5812	n/a	S  2	response
155.0824	1.0175	S  5	stimulus
155.6336	n/a	S  1	response
158.3517	1.0175	S  5	stimulus
159.0285	n/a	S  1	response
160.4034	1.0175	S  5	stimulus
161.0747	n/a	S  2	response
165.5743	1.0175	S  4	stimulus
166.557	n/a	S  3	response
168.56	1.0175	S  5	stimulus
169.2369	n/a	S  2	response
173.7643	1.0175	S  4	stimulus
174.8905	n/a	S  1	response
176.0328	1.0175	S  4	stimulus
177.0692	n/a	S  3	response
178.8184	1.0175	S  4	stimulus
179.7866	n/a	S  1	response
181.3705	1.0175	S  4	stimulus
182.2841	n/a	S  2	response
183.9559	1.0175	S  5	stimulus
184.7015	n/a	S  1	response
186.0576	1.0175	S  5	stimulus
186.7139	n/a	S  3	response
188.2927	1.0175	S  5	stimulus
188.9214	n/a	S  1	response
190.3611	1.0175	S  5	stimulus
191.0051	n/a	S  3	response
197.3168	1.0175	S  4	stimulus
198.2461	n/a	S  3	response
199.8021	1.0175	S  4	stimulus
200.6885	n/a	S  1	response
202.0706	1.0175	S  5	stimulus
202.5873	n/a	S  3	response
204.2724	1.0175	S  4	stimulus
205.0459	n/a	S  3	response
207.3416	1.0175	S  4	stimulus
208.2608	n/a	S  1	response
209.7102	1.0175	S  4	stimulus
210.5895	n/a	S  2	response
211.7619	1.0175	S  5	stimulus
212.3195	n/a	S  2	response
214.5641	1.0175	S  5	stimulus
215.1994	n/a	S  1	response
221.0361	1.0175	S  4	stimulus
221.983	n/a	S  2	response
223.438	1.0175	S  4	stimulus
224.1866	n/a	S  3	response
225.9401	1.0175	S  4	stimulus
226.7603	n/a	S  3	response
228.4921	1.0175	S  5	stimulus
229.1477	n/a	S  1	response
233.296	1.0175	S  4	stimulus
234.1576	n/a	S  1	response
235.9816	1.0175	S  4	stimulus
237.0151	n/a	S  2	response
238.0666	1.0175	S  4	stimulus
238.6837	n/a	S  2	response
241.4694	1.0175	S  4	stimulus
242.2311	n/a	S  3	response
244.1716	1.0175	S  5	stimulus
244.7886	n/a	S  3	response
246.34	n/a	S 10	stimulus
